n70,g20,g46
n6,g59,g4
n4,g36,g44
n22,g43,g99
n21,g51,g86
n60,g13,g45
n79,g13,g78
n74,g19,g80
n69,g54,g28
n28,g34,g10
n14,g1,g35
n45,g26,g9
n89,g74,g97
n5,g5,g88
n23,g78,g30
n24,g91,g30
n17,g19,g95
n54,g70,g37
n77,g1,g7
n63,g63,g8
n9,g58,g20
n25,g92,g65
n87,g44,g15
n10,g11,g76
n68,g46,g11
n34,g12,g16
n72,g95,g63
n73,g61,g54
n55,g64,g62
n44,g84,g24
n16,g17,g25
n80,g72,g97
n81,g75,g10
n75,g6,g30
n66,g24,g32
n47,g22,g6
n52,g13,g28
n59,g81,g73
n57,g58,g42
n71,g0,g3
n37,g30,g19
n31,g39,g43
n19,g55,g86
n46,g8,g64
n65,g24,g1
n85,g5,g32
n1,g76,g85
n84,g17,g27
n32,g37,g99
n26,g9,g69
n20,g61,g51
n53,g8,g35
n56,g23,g22
n76,g60,g0
n38,g40,g21
n13,g25,g72
n67,g22,g68
n41,g62,g61
n18,g90,g33
n11,g0,g32
n30,g62,g23
n35,g57,g90
n8,g52,g41
n83,g51,g99
n39,g61,g88
n33,g92,g10
n27,g61,g49
n50,g9,g90
n12,g37,g89
n82,g1,g49
n0,g57,g11
n43,g39,g14
n58,g35,g59
n36,g27,g34
n42,g81,g93
n61,g90,g95
n78,g42,g38
n3,g54,g53
n29,g73,g16
n49,g75,g8
n88,g74,g9
n86,g6,g38
n62,g25,g63
n40,g10,g6
n51,g25,g70
n7,g60,g71
n15,g71,g19
n48,g90,g72
n64,g76,g67
n2,g64,g14
