n70,g85,g7
n6,g79,g51
n4,g87,g40
n22,g20,g56
n21,g64,g81
n60,g53,g4
n79,g21,g94
n74,g41,g5
n69,g11,g60
n28,g77,g61
n14,g74,g97
n45,g35,g80
n89,g37,g39
n5,g96,g74
n23,g3,g69
n24,g99,g12
n17,g53,g59
n54,g2,g72
n77,g8,g47
n63,g48,g81
n9,g37,g36
n25,g27,g21
n87,g47,g89
n10,g54,g95
n68,g11,g51
n34,g72,g22
n72,g43,g93
n73,g55,g52
n55,g55,g74
n44,g75,g96
n16,g4,g18
n80,g9,g72
n81,g46,g35
n75,g10,g95
n66,g44,g40
n47,g89,g24
n52,g71,g29
n59,g77,g50
n57,g81,g37
n71,g21,g8
n37,g83,g44
n31,g2,g87
n19,g79,g21
n46,g47,g51
n65,g35,g49
n85,g64,g47
n1,g19,g57
n84,g64,g59
n32,g92,g0
n26,g74,g66
n20,g75,g90
n53,g15,g17
n56,g97,g63
n76,g79,g94
n38,g56,g45
n13,g47,g4
n67,g23,g18
n41,g35,g50
n18,g28,g20
n11,g18,g36
n30,g78,g40
n35,g70,g25
n8,g39,g80
n83,g31,g11
n39,g17,g46
n33,g99,g81
n27,g6,g45
n50,g75,g27
n12,g23,g77
n82,g73,g61
n0,g74,g56
n43,g25,g62
n58,g63,g27
n36,g93,g38
n42,g96,g67
n61,g26,g42
n78,g31,g17
n3,g11,g75
n29,g30,g90
n49,g21,g12
n88,g75,g5
n86,g56,g31
n62,g77,g91
n40,g30,g36
n51,g29,g43
n7,g40,g48
n15,g89,g52
n48,g97,g46
n64,g76,g52
n2,g52,g5
