n0,g23,g41
n1,g32,g26
n2,g12,g18
n3,g35,g15
n4,g6,g77
n5,g41,g9
n6,g94,g44
n7,g56,g9
n8,g9,g51
n9,g92,g44
n10,g28,g25
n11,g44,g66
n12,g25,g64
n13,g74,g80
n14,g64,g84
n15,g46,g15
n16,g10,g91
n17,g32,g62
n18,g81,g91
n19,g70,g68
n20,g65,g18
n21,g5,g81
n22,g30,g78
n23,g38,g64
n24,g66,g94
n25,g63,g38
n26,g95,g48
n27,g56,g7
n28,g4,g58
n29,g22,g99
n30,g24,g77
n31,g97,g20
n32,g34,g20
n33,g37,g60
n34,g56,g16
n35,g22,g10
n36,g53,g22
n37,g21,g68
n38,g39,g61
n39,g33,g31
n40,g42,g6
n41,g77,g86
n42,g29,g82
n43,g76,g35
n44,g96,g32
n45,g31,g8
n46,g82,g9
n47,g26,g84
n48,g9,g11
n49,g35,g12
n50,g95,g51
n51,g38,g86
n52,g57,g55
n53,g56,g98
n54,g49,g10
n55,g25,g87
n56,g45,g10
n57,g1,g81
n58,g24,g47
n59,g54,g45
n60,g50,g89
n61,g10,g55
n62,g88,g49
n63,g49,g3
n64,g62,g59
n65,g42,g45
n66,g85,g94
n67,g61,g97
n68,g52,g49
n69,g15,g2
n70,g85,g28
n71,g39,g30
n72,g37,g51
n73,g84,g51
n74,g77,g74
n75,g50,g99
n76,g57,g81
n77,g83,g71
n78,g70,g4
n79,g51,g30
n80,g43,g24
n81,g14,g54
n82,g45,g23
n83,g52,g0
n84,g5,g26
n85,g96,g85
n86,g56,g91
n87,g68,g91
n88,g6,g79
n89,g59,g98
n90,g76,g1
n91,g91,g93
n92,g21,g86
n93,g5,g67
n94,g95,g27
n95,g31,g15
n96,g0,g39
n97,g71,g7
n98,g54,g49
n99,g83,g32
n100,g41,g32
n101,g3,g82
n102,g62,g0
n103,g80,g12
n104,g14,g97
n105,g86,g64
n106,g85,g73
n107,g16,g62
n108,g6,g71
n109,g92,g48
n110,g50,g11
n111,g82,g18
n112,g81,g76
n113,g54,g78
n114,g96,g5
n115,g53,g6
n116,g78,g98
n117,g3,g17
n118,g60,g65
n119,g88,g75
n120,g58,g47
n121,g3,g45
n122,g31,g1
n123,g86,g75
n124,g69,g87
n125,g11,g8
n126,g16,g99
n127,g0,g69
n128,g43,g54
n129,g53,g77
n130,g13,g69
n131,g60,g73
n132,g21,g33
n133,g71,g38
n134,g68,g46
n135,g89,g27
n136,g22,g60
n137,g47,g82
n138,g87,g85
n139,g66,g36
n140,g84,g62
n141,g39,g48
n142,g73,g72
n143,g5,g58
n144,g78,g40
n145,g13,g11
n146,g70,g1
n147,g90,g37
n148,g98,g84
n149,g46,g39
