n70,g66,g65
n65,g50,g0
n6,g12,g4
n35,g50,g38
n4,g67,g14
n32,g75,g10
n72,g86,g38
n74,g87,g34
n26,g48,g64
n21,g25,g62
n60,g1,g44
n20,g38,g6
n73,g9,g47
n51,g96,g97
n69,g19,g46
n71,g78,g41
n28,g22,g91
n14,g55,g76
n45,g33,g74
n39,g78,g22
n5,g81,g3
n23,g75,g77
n24,g93,g8
n54,g29,g2
n16,g39,g93
n17,g78,g49
n18,g9,g71
n63,g61,g97
n9,g33,g48
n25,g97,g81
n30,g41,g35
n31,g80,g35
n10,g11,g77
n43,g54,g31
n68,g46,g24
n34,g93,g37
n8,g37,g35
n53,g21,g31
n55,g82,g56
n38,g48,g2
n33,g56,g28
n62,g39,g3
n11,g52,g95
n27,g81,g26
n50,g84,g37
n44,g75,g96
n12,g90,g25
n67,g31,g84
n75,g10,g41
n0,g82,g3
n22,g19,g79
n58,g23,g25
n36,g49,g95
n42,g53,g42
n61,g41,g17
n3,g60,g55
n29,g72,g37
n47,g80,g32
n49,g89,g75
n52,g38,g60
n59,g64,g84
n57,g10,g12
n66,g92,g85
n37,g19,g4
n13,g71,g21
n40,g24,g99
n19,g76,g45
n46,g84,g82
n7,g97,g18
n15,g35,g62
n48,g60,g73
n41,g87,g58
n64,g87,g72
n56,g98,g7
n2,g4,g52
n1,g81,g88
