n70,g17,g10
n65,g89,g61
n6,g0,g29
n35,g20,g43
n4,g28,g46
n32,g64,g63
n72,g41,g58
n74,g45,g27
n26,g52,g30
n21,g40,g26
n60,g0,g63
n20,g42,g60
n73,g37,g41
n51,g60,g79
n69,g71,g29
n71,g11,g5
n28,g37,g30
n77,g20,g59
n14,g25,g99
n45,g41,g90
n39,g7,g57
n5,g31,g60
n23,g46,g89
n24,g47,g96
n54,g15,g22
n16,g6,g30
n17,g87,g99
n18,g78,g62
n63,g6,g73
n9,g68,g4
n25,g87,g73
n30,g56,g76
n31,g63,g29
n10,g25,g91
n43,g64,g43
n68,g83,g49
n34,g55,g2
n8,g3,g13
n79,g35,g18
n53,g48,g63
n55,g88,g70
n38,g78,g57
n33,g40,g34
n62,g25,g51
n11,g77,g19
n27,g48,g74
n50,g2,g4
n44,g61,g81
n12,g84,g56
n67,g24,g25
n75,g36,g35
n80,g98,g92
n0,g4,g73
n22,g38,g45
n58,g68,g33
n36,g44,g14
n42,g53,g33
n61,g16,g59
n78,g36,g38
n3,g80,g87
n29,g56,g44
n47,g97,g41
n49,g80,g32
n52,g87,g33
n59,g46,g26
n57,g31,g55
n66,g74,g28
n37,g76,g18
n13,g73,g39
n40,g7,g28
n19,g13,g98
n46,g34,g8
n7,g78,g61
n15,g32,g61
n48,g15,g67
n41,g52,g77
n76,g41,g76
n64,g11,g25
n56,g51,g30
n2,g90,g87
n1,g11,g39
