n70,g69,g11
n65,g7,g73
n6,g63,g16
n35,g84,g56
n4,g59,g30
n32,g60,g6
n72,g37,g87
n74,g68,g65
n26,g10,g65
n21,g43,g29
n60,g31,g88
n20,g39,g57
n73,g10,g25
n51,g99,g76
n69,g94,g29
n71,g86,g1
n28,g11,g31
n77,g71,g47
n14,g8,g87
n45,g22,g51
n39,g44,g51
n5,g99,g4
n23,g60,g9
n24,g65,g28
n54,g38,g51
n16,g30,g39
n17,g41,g40
n18,g27,g68
n63,g56,g81
n9,g49,g63
n25,g18,g28
n30,g38,g72
n31,g21,g91
n10,g61,g63
n43,g96,g26
n68,g17,g45
n34,g63,g31
n8,g11,g30
n79,g83,g18
n53,g32,g73
n55,g28,g87
n38,g6,g98
n33,g72,g95
n62,g73,g89
n11,g14,g97
n27,g54,g98
n50,g38,g98
n44,g71,g0
n12,g91,g4
n67,g99,g67
n75,g85,g4
n80,g92,g29
n0,g62,g69
n22,g96,g79
n58,g59,g95
n36,g84,g49
n42,g47,g88
n61,g97,g96
n78,g43,g84
n3,g50,g71
n29,g20,g34
n47,g34,g87
n49,g90,g27
n52,g52,g35
n59,g64,g95
n57,g97,g7
n66,g47,g20
n37,g73,g90
n13,g93,g8
n40,g40,g13
n19,g5,g58
n46,g51,g70
n7,g62,g55
n15,g64,g20
n48,g75,g7
n41,g13,g86
n76,g72,g25
n64,g3,g87
n56,g31,g52
n2,g24,g54
n1,g91,g24
