n0,g71,g58
n1,g62,g82
n2,g75,g57
n3,g89,g84
n4,g58,g99
n5,g57,g93
n6,g60,g45
n7,g72,g9
n8,g46,g94
n9,g95,g80
n10,g28,g46
n11,g36,g90
n12,g60,g7
n13,g21,g84
n14,g29,g21
n15,g85,g76
n16,g48,g9
n17,g74,g16
n18,g3,g14
n19,g1,g26
n20,g10,g86
n21,g76,g32
n22,g63,g92
n23,g34,g71
n24,g23,g77
n25,g5,g11
n26,g68,g32
n27,g21,g36
n28,g78,g11
n29,g58,g10
n30,g54,g36
n31,g80,g70
n32,g33,g71
n33,g74,g27
n34,g23,g10
n35,g2,g46
n36,g84,g15
n37,g17,g62
n38,g55,g4
n39,g59,g92
n40,g83,g76
n41,g90,g65
n42,g35,g39
n43,g14,g2
n44,g61,g9
n45,g18,g49
n46,g77,g51
n47,g79,g29
n48,g22,g28
n49,g73,g74
n50,g30,g27
n51,g56,g91
n52,g86,g67
n53,g31,g10
n54,g86,g0
n55,g31,g66
n56,g57,g54
n57,g37,g7
n58,g34,g81
n59,g53,g44
n60,g75,g24
n61,g63,g95
n62,g24,g87
n63,g8,g56
n64,g15,g6
n65,g49,g31
n66,g34,g56
n67,g16,g90
n68,g19,g6
n69,g95,g42
n70,g41,g6
n71,g93,g18
n72,g53,g65
n73,g17,g40
n74,g62,g90
n75,g14,g67
n76,g82,g79
n77,g6,g18
n78,g42,g12
n79,g18,g74
n80,g63,g33
n81,g81,g62
n82,g50,g25
n83,g41,g29
n84,g20,g5
n85,g28,g38
n86,g80,g22
n87,g77,g8
n88,g84,g92
n89,g27,g96
n90,g52,g17
n91,g41,g57
n92,g56,g11
n93,g35,g37
n94,g74,g9
n95,g62,g59
n96,g37,g50
n97,g88,g19
n98,g25,g22
n99,g22,g60
n100,g67,g87
n101,g73,g36
n102,g81,g25
n103,g77,g4
n104,g27,g45
n105,g6,g77
n106,g86,g46
n107,g81,g94
n108,g20,g26
n109,g73,g57
n110,g27,g32
n111,g23,g0
n112,g31,g83
n113,g48,g89
n114,g75,g87
n115,g5,g98
n116,g87,g32
n117,g24,g26
n118,g30,g19
n119,g0,g94
