n70,g10,g86
n65,g40,g48
n6,g43,g33
n35,g50,g34
n4,g69,g9
n32,g71,g13
n72,g89,g97
n74,g72,g3
n26,g78,g13
n21,g22,g71
n60,g99,g72
n20,g83,g82
n73,g56,g48
n51,g91,g27
n69,g3,g36
n71,g11,g65
n28,g58,g83
n77,g29,g54
n14,g17,g80
n45,g73,g42
n39,g40,g44
n5,g48,g15
n23,g25,g70
n24,g9,g80
n54,g9,g45
n16,g99,g88
n17,g93,g12
n18,g11,g97
n63,g20,g33
n9,g15,g5
n25,g58,g13
n30,g65,g69
n31,g12,g29
n10,g16,g23
n43,g95,g81
n68,g51,g93
n34,g53,g16
n8,g80,g37
n79,g23,g10
n53,g25,g33
n55,g91,g34
n38,g97,g34
n33,g81,g37
n62,g92,g70
n11,g4,g17
n27,g15,g59
n50,g91,g78
n44,g65,g42
n12,g63,g75
n67,g72,g61
n75,g8,g30
n80,g16,g58
n0,g77,g63
n22,g81,g85
n81,g81,g74
n58,g35,g25
n36,g80,g75
n42,g9,g26
n61,g86,g28
n78,g56,g32
n3,g74,g78
n29,g32,g95
n47,g27,g6
n49,g18,g46
n52,g87,g2
n59,g41,g87
n57,g14,g94
n66,g57,g66
n37,g96,g85
n13,g64,g63
n40,g63,g93
n19,g30,g73
n46,g81,g50
n7,g79,g27
n15,g57,g7
n48,g91,g15
n41,g46,g38
n76,g49,g18
n64,g54,g15
n56,g23,g96
n2,g89,g82
n1,g59,g21
