n70,g51,g57
n65,g43,g42
n6,g24,g33
n35,g76,g59
n4,g84,g50
n32,g39,g43
n72,g63,g21
n74,g59,g68
n26,g8,g45
n21,g61,g43
n60,g79,g47
n20,g71,g9
n73,g92,g37
n51,g61,g18
n69,g33,g74
n71,g63,g67
n28,g1,g2
n77,g61,g78
n14,g92,g85
n45,g50,g35
n39,g58,g9
n5,g61,g79
n23,g36,g34
n24,g84,g98
n54,g8,g64
n16,g5,g95
n17,g80,g85
n18,g62,g3
n63,g75,g53
n9,g73,g68
n25,g16,g41
n30,g36,g72
n31,g6,g87
n10,g41,g52
n43,g13,g27
n68,g0,g62
n34,g49,g33
n8,g26,g39
n79,g81,g66
n53,g86,g27
n55,g57,g55
n38,g18,g93
n33,g20,g73
n62,g2,g16
n11,g55,g51
n27,g98,g42
n50,g89,g28
n44,g62,g15
n12,g1,g78
n67,g58,g7
n75,g92,g35
n80,g90,g22
n0,g47,g17
n22,g62,g98
n81,g78,g97
n58,g42,g88
n36,g71,g66
n42,g26,g22
n61,g53,g19
n78,g81,g32
n3,g0,g15
n29,g14,g19
n47,g27,g85
n49,g46,g56
n52,g15,g72
n59,g49,g55
n57,g20,g18
n66,g71,g15
n37,g9,g32
n13,g16,g64
n40,g9,g98
n19,g23,g70
n46,g13,g91
n7,g12,g47
n15,g29,g77
n48,g52,g70
n41,g7,g6
n76,g65,g90
n64,g60,g99
n56,g14,g53
n2,g2,g28
n1,g88,g38
