n70,g72,g10
n65,g88,g24
n6,g9,g25
n35,g59,g87
n4,g78,g74
n32,g44,g98
n72,g51,g72
n74,g5,g24
n26,g52,g71
n21,g49,g12
n60,g29,g63
n20,g33,g67
n73,g77,g82
n51,g17,g76
n69,g16,g82
n71,g88,g5
n28,g49,g7
n77,g60,g29
n14,g44,g30
n45,g62,g36
n39,g84,g29
n5,g70,g49
n23,g53,g91
n24,g71,g4
n54,g25,g83
n16,g34,g47
n17,g1,g63
n18,g58,g1
n63,g41,g38
n9,g9,g8
n25,g30,g7
n30,g99,g30
n31,g26,g78
n10,g39,g35
n43,g48,g5
n68,g79,g71
n34,g47,g89
n8,g82,g63
n79,g68,g9
n53,g32,g52
n55,g19,g40
n38,g31,g74
n33,g3,g39
n62,g60,g99
n11,g62,g54
n27,g43,g41
n50,g54,g87
n44,g83,g7
n12,g9,g48
n67,g46,g1
n75,g20,g50
n80,g31,g90
n0,g43,g32
n22,g13,g26
n81,g85,g67
n58,g35,g56
n36,g2,g22
n42,g78,g42
n61,g99,g97
n78,g16,g40
n3,g88,g42
n29,g31,g34
n47,g57,g81
n49,g87,g89
n52,g45,g82
n59,g64,g88
n57,g12,g13
n66,g80,g60
n37,g64,g76
n13,g39,g6
n40,g88,g6
n19,g83,g11
n46,g75,g32
n7,g6,g96
n15,g54,g85
n48,g12,g17
n41,g22,g89
n76,g66,g52
n64,g61,g46
n56,g78,g21
n2,g50,g95
n1,g0,g21
