n70,g76,g47
n65,g66,g1
n6,g6,g39
n35,g1,g9
n4,g44,g15
n32,g97,g38
n72,g88,g58
n74,g82,g4
n26,g14,g60
n21,g10,g62
n60,g5,g34
n20,g73,g29
n73,g98,g52
n51,g87,g65
n69,g19,g45
n71,g64,g0
n28,g87,g80
n77,g72,g5
n14,g2,g82
n45,g8,g51
n39,g81,g63
n5,g11,g3
n23,g47,g26
n24,g92,g6
n54,g40,g18
n16,g94,g0
n17,g25,g21
n18,g60,g0
n63,g18,g95
n9,g58,g16
n25,g58,g17
n30,g85,g8
n31,g89,g53
n10,g13,g45
n43,g11,g55
n68,g57,g30
n34,g73,g13
n8,g6,g4
n79,g2,g69
n53,g36,g51
n55,g8,g95
n38,g12,g81
n33,g11,g76
n62,g77,g73
n11,g8,g62
n27,g66,g22
n50,g48,g17
n44,g50,g78
n12,g86,g38
n67,g79,g6
n75,g2,g6
n0,g55,g46
n22,g25,g81
n58,g23,g60
n36,g9,g81
n42,g35,g83
n61,g2,g29
n78,g3,g28
n3,g37,g10
n29,g61,g7
n47,g13,g57
n49,g98,g15
n52,g17,g85
n59,g21,g35
n57,g53,g27
n66,g33,g54
n37,g30,g24
n13,g83,g65
n40,g99,g20
n19,g61,g53
n46,g73,g39
n7,g13,g98
n15,g21,g62
n48,g17,g43
n41,g13,g80
n76,g70,g63
n64,g17,g88
n56,g38,g83
n2,g15,g34
n1,g12,g18
