n70,g39,g11
n65,g19,g90
n6,g40,g92
n35,g95,g8
n4,g33,g28
n32,g21,g12
n72,g85,g76
n74,g82,g20
n26,g79,g46
n21,g96,g30
n60,g21,g49
n20,g44,g35
n73,g72,g37
n51,g73,g60
n69,g20,g15
n71,g47,g79
n28,g2,g57
n77,g67,g40
n14,g92,g44
n45,g3,g12
n39,g62,g34
n5,g88,g63
n23,g99,g67
n24,g96,g85
n54,g56,g69
n16,g84,g3
n17,g37,g74
n18,g93,g91
n63,g48,g4
n9,g42,g0
n25,g70,g56
n30,g86,g38
n31,g1,g82
n10,g65,g88
n43,g87,g25
n68,g82,g81
n34,g78,g47
n8,g31,g56
n53,g20,g59
n55,g32,g20
n38,g18,g68
n33,g48,g83
n62,g26,g21
n11,g83,g23
n27,g36,g48
n50,g54,g42
n44,g57,g75
n12,g11,g48
n67,g48,g77
n75,g54,g52
n0,g62,g94
n22,g36,g66
n58,g57,g86
n36,g65,g31
n42,g32,g55
n61,g62,g99
n78,g0,g69
n3,g77,g65
n29,g55,g44
n47,g31,g42
n49,g4,g18
n52,g19,g84
n59,g58,g39
n57,g38,g8
n66,g22,g88
n37,g66,g8
n13,g42,g70
n40,g11,g62
n19,g23,g25
n46,g99,g79
n7,g52,g38
n15,g82,g53
n48,g50,g4
n41,g26,g88
n76,g22,g27
n64,g55,g19
n56,g94,g85
n2,g46,g36
n1,g0,g22
