n70,g91,g98
n65,g0,g71
n6,g46,g49
n35,g65,g59
n4,g38,g73
n32,g64,g39
n72,g36,g4
n83,g54,g87
n74,g63,g74
n26,g15,g77
n21,g18,g13
n60,g61,g32
n20,g80,g40
n73,g39,g41
n51,g48,g66
n69,g70,g48
n71,g95,g8
n28,g47,g73
n77,g21,g39
n14,g12,g21
n45,g99,g2
n39,g18,g14
n5,g82,g13
n23,g56,g66
n24,g21,g16
n54,g95,g48
n16,g33,g64
n82,g84,g87
n17,g34,g95
n18,g5,g44
n63,g31,g93
n9,g97,g0
n25,g60,g26
n30,g26,g78
n31,g28,g68
n10,g59,g10
n43,g17,g20
n68,g0,g89
n34,g7,g39
n8,g40,g60
n79,g5,g79
n53,g83,g33
n55,g66,g12
n38,g72,g35
n33,g18,g65
n62,g33,g75
n11,g36,g16
n27,g24,g85
n50,g51,g84
n44,g51,g54
n12,g43,g60
n67,g31,g92
n75,g21,g2
n80,g40,g3
n0,g39,g30
n22,g29,g70
n81,g20,g55
n58,g67,g2
n36,g35,g91
n42,g24,g57
n61,g45,g43
n78,g89,g36
n3,g51,g81
n29,g3,g88
n47,g1,g86
n49,g74,g66
n52,g38,g50
n59,g83,g43
n57,g79,g71
n66,g57,g26
n37,g5,g26
n13,g7,g9
n40,g62,g54
n19,g69,g7
n46,g28,g92
n7,g22,g69
n15,g14,g59
n48,g68,g11
n41,g16,g18
n76,g3,g76
n64,g40,g46
n56,g0,g48
n2,g60,g77
n1,g77,g97
