n0,g4,g30
n1,g37,g17
n2,g76,g13
n3,g17,g8
n4,g33,g13
n5,g54,g18
n6,g13,g36
n7,g65,g19
n8,g20,g53
n9,g13,g14
n10,g3,g66
n11,g22,g16
n12,g81,g61
n13,g59,g66
n14,g87,g76
n15,g63,g54
n16,g15,g78
n17,g12,g65
n18,g10,g8
n19,g80,g32
n20,g74,g66
n21,g76,g22
n22,g27,g57
n23,g26,g36
n24,g29,g93
n25,g73,g14
n26,g89,g74
n27,g44,g95
n28,g39,g1
n29,g47,g92
n30,g11,g12
n31,g67,g32
n32,g20,g33
n33,g64,g92
n34,g35,g10
n35,g48,g75
n36,g92,g2
n37,g85,g64
n38,g14,g71
n39,g30,g81
n40,g15,g79
n41,g19,g7
n42,g71,g92
n43,g52,g25
n44,g76,g16
n45,g96,g75
n46,g99,g45
n47,g80,g54
n48,g6,g78
n49,g75,g71
