n70,g76,g43
n6,g78,g4
n4,g84,g4
n22,g28,g37
n21,g97,g2
n60,g38,g0
n79,g63,g1
n74,g51,g72
n69,g21,g23
n28,g11,g89
n14,g96,g6
n45,g97,g93
n5,g90,g33
n23,g96,g52
n24,g28,g79
n17,g48,g16
n54,g25,g17
n77,g68,g78
n63,g45,g26
n9,g98,g20
n25,g73,g52
n87,g37,g94
n10,g5,g20
n68,g47,g83
n34,g27,g17
n72,g21,g12
n73,g29,g75
n55,g23,g3
n44,g80,g79
n16,g26,g11
n80,g72,g32
n81,g20,g63
n75,g86,g9
n66,g59,g84
n47,g31,g26
n52,g98,g39
n59,g94,g22
n57,g33,g85
n71,g61,g9
n37,g97,g94
n31,g21,g9
n19,g60,g99
n46,g29,g16
n65,g41,g59
n85,g69,g67
n1,g43,g70
n84,g60,g2
n32,g16,g94
n26,g21,g85
n20,g83,g20
n53,g89,g46
n56,g67,g23
n76,g72,g30
n38,g0,g96
n13,g6,g32
n67,g82,g39
n41,g92,g98
n18,g96,g16
n11,g67,g91
n30,g19,g35
n35,g61,g26
n8,g57,g62
n83,g83,g98
n39,g58,g33
n33,g22,g50
n27,g91,g92
n50,g69,g71
n12,g45,g78
n82,g95,g67
n0,g52,g1
n43,g79,g32
n58,g21,g35
n36,g7,g96
n42,g39,g58
n61,g16,g56
n78,g24,g87
n3,g43,g54
n29,g46,g11
n49,g41,g55
n88,g54,g62
n86,g53,g18
n62,g52,g88
n40,g65,g69
n51,g58,g64
n7,g31,g95
n15,g12,g38
n48,g55,g92
n64,g48,g92
n2,g9,g46
