n70,g51,g0
n6,g40,g22
n4,g66,g48
n22,g91,g28
n21,g14,g58
n60,g87,g55
n79,g95,g42
n74,g7,g92
n69,g38,g7
n28,g13,g42
n14,g94,g61
n45,g13,g61
n5,g58,g65
n23,g92,g13
n24,g75,g69
n17,g69,g37
n54,g50,g10
n77,g55,g93
n63,g81,g79
n9,g66,g70
n25,g72,g66
n87,g12,g15
n10,g99,g44
n68,g68,g86
n34,g63,g77
n72,g97,g24
n73,g22,g36
n55,g38,g96
n44,g88,g56
n16,g61,g82
n80,g19,g7
n81,g3,g67
n75,g89,g20
n66,g72,g25
n47,g19,g27
n52,g42,g7
n59,g41,g92
n57,g87,g86
n71,g23,g12
n37,g9,g24
n31,g39,g40
n19,g52,g34
n46,g27,g34
n65,g47,g61
n85,g81,g56
n1,g20,g96
n84,g79,g51
n32,g10,g49
n26,g45,g66
n20,g73,g29
n53,g0,g16
n56,g97,g93
n76,g77,g29
n38,g23,g83
n13,g36,g35
n67,g94,g6
n41,g54,g25
n18,g52,g91
n11,g27,g2
n30,g84,g5
n35,g50,g24
n8,g24,g45
n83,g82,g11
n39,g32,g68
n33,g2,g33
n27,g30,g23
n50,g26,g30
n12,g4,g9
n82,g4,g95
n0,g23,g11
n43,g26,g40
n58,g52,g59
n36,g25,g82
n42,g48,g10
n61,g99,g2
n78,g4,g76
n3,g29,g44
n29,g14,g3
n49,g21,g7
n88,g85,g23
n86,g21,g17
n62,g37,g93
n40,g98,g28
n51,g65,g54
n7,g18,g62
n15,g36,g94
n48,g26,g51
n64,g89,g13
n2,g9,g91
