n70,g67,g47
n65,g20,g30
n6,g14,g78
n35,g36,g53
n4,g27,g21
n32,g37,g40
n72,g18,g85
n83,g61,g6
n74,g25,g32
n84,g91,g14
n26,g68,g27
n21,g10,g4
n60,g99,g55
n20,g71,g67
n73,g2,g95
n51,g86,g43
n69,g93,g5
n71,g88,g82
n28,g52,g25
n77,g25,g49
n14,g81,g95
n45,g34,g33
n39,g37,g75
n5,g87,g48
n23,g9,g1
n24,g63,g71
n54,g7,g66
n16,g14,g55
n82,g76,g56
n17,g83,g26
n18,g95,g27
n63,g10,g74
n9,g52,g66
n25,g43,g3
n30,g86,g62
n31,g76,g61
n10,g56,g58
n43,g28,g83
n68,g47,g3
n34,g70,g58
n8,g73,g88
n79,g94,g59
n53,g13,g46
n55,g46,g31
n38,g94,g66
n33,g66,g42
n62,g99,g97
n11,g79,g31
n27,g16,g93
n50,g76,g87
n44,g96,g4
n12,g10,g26
n67,g16,g63
n75,g37,g41
n80,g90,g84
n0,g85,g24
n22,g4,g38
n81,g43,g17
n58,g49,g34
n36,g25,g19
n42,g86,g69
n61,g19,g24
n78,g77,g58
n3,g85,g92
n29,g36,g76
n47,g72,g68
n49,g64,g93
n52,g31,g56
n59,g70,g11
n57,g49,g72
n66,g99,g87
n37,g80,g22
n13,g38,g7
n40,g22,g91
n19,g1,g78
n46,g74,g39
n7,g7,g46
n15,g93,g83
n48,g62,g7
n41,g54,g71
n76,g21,g59
n64,g61,g3
n56,g94,g29
n2,g35,g51
n1,g48,g40
