n70,g55,g7
n65,g89,g55
n6,g66,g62
n35,g79,g89
n4,g73,g71
n32,g10,g13
n72,g70,g88
n83,g96,g13
n74,g68,g69
n84,g52,g16
n26,g44,g11
n21,g33,g0
n60,g44,g27
n20,g2,g32
n73,g29,g18
n51,g62,g14
n69,g91,g41
n71,g13,g12
n28,g93,g33
n77,g40,g15
n14,g22,g17
n45,g92,g50
n39,g23,g63
n5,g74,g87
n23,g54,g10
n24,g47,g26
n54,g57,g94
n16,g42,g73
n82,g7,g76
n17,g7,g34
n18,g59,g66
n63,g17,g18
n9,g64,g8
n25,g1,g47
n30,g40,g55
n31,g52,g6
n10,g74,g64
n43,g50,g41
n68,g37,g89
n34,g45,g18
n8,g27,g37
n79,g34,g86
n53,g11,g18
n55,g31,g94
n38,g79,g23
n33,g23,g39
n62,g47,g5
n11,g48,g86
n27,g91,g75
n50,g9,g29
n44,g77,g94
n12,g90,g93
n67,g26,g42
n75,g5,g54
n80,g7,g30
n0,g24,g22
n22,g99,g43
n81,g92,g42
n58,g43,g29
n36,g10,g38
n42,g85,g62
n61,g58,g83
n78,g61,g15
n3,g52,g71
n29,g39,g47
n47,g7,g24
n49,g63,g25
n52,g15,g70
n59,g91,g88
n57,g11,g76
n66,g71,g20
n37,g35,g87
n13,g20,g14
n40,g6,g29
n19,g33,g45
n46,g25,g28
n7,g19,g54
n15,g27,g19
n48,g56,g79
n41,g35,g97
n76,g52,g38
n64,g78,g12
n56,g99,g67
n2,g38,g6
n1,g69,g39
