n70,g52,g78
n6,g95,g96
n4,g43,g61
n22,g28,g30
n21,g17,g42
n60,g86,g10
n79,g5,g89
n74,g48,g54
n69,g86,g95
n28,g9,g3
n14,g66,g75
n45,g4,g55
n5,g67,g95
n23,g5,g18
n24,g75,g91
n17,g92,g7
n54,g57,g31
n77,g26,g40
n63,g36,g55
n9,g13,g62
n25,g86,g22
n10,g32,g66
n68,g8,g70
n34,g55,g95
n72,g40,g8
n73,g1,g37
n55,g3,g1
n44,g30,g73
n16,g56,g76
n80,g51,g72
n81,g80,g62
n75,g93,g37
n66,g5,g38
n47,g82,g5
n52,g14,g79
n59,g58,g66
n57,g22,g81
n71,g81,g77
n37,g36,g83
n31,g49,g44
n19,g16,g77
n46,g64,g56
n65,g74,g57
n85,g72,g79
n1,g86,g44
n84,g82,g0
n32,g35,g48
n26,g8,g54
n20,g88,g34
n53,g41,g66
n56,g24,g59
n76,g47,g88
n38,g88,g1
n13,g2,g18
n67,g5,g51
n41,g62,g12
n18,g27,g62
n11,g2,g16
n30,g9,g92
n35,g21,g65
n8,g24,g68
n83,g98,g51
n39,g24,g37
n33,g67,g52
n27,g54,g56
n50,g79,g20
n12,g11,g12
n82,g62,g50
n0,g0,g25
n43,g55,g71
n58,g34,g49
n36,g42,g50
n42,g13,g41
n61,g66,g83
n78,g17,g30
n3,g84,g27
n29,g98,g35
n49,g40,g96
n86,g19,g33
n62,g16,g23
n40,g72,g22
n51,g58,g13
n7,g56,g73
n15,g33,g76
n48,g13,g11
n64,g81,g15
n2,g17,g39
