n70,g15,g18
n65,g74,g2
n6,g16,g22
n35,g83,g23
n4,g46,g40
n32,g5,g52
n72,g30,g86
n74,g6,g15
n26,g61,g17
n21,g74,g57
n60,g24,g26
n20,g43,g42
n73,g38,g68
n51,g45,g81
n69,g97,g26
n71,g22,g87
n28,g38,g47
n14,g44,g60
n45,g44,g45
n39,g41,g14
n5,g88,g11
n23,g45,g70
n24,g0,g63
n54,g7,g26
n16,g5,g65
n17,g96,g22
n18,g99,g48
n63,g31,g92
n9,g57,g24
n25,g79,g34
n30,g30,g88
n31,g49,g26
n10,g30,g44
n43,g49,g51
n68,g91,g89
n34,g9,g68
n8,g79,g96
n53,g62,g53
n55,g62,g4
n38,g9,g76
n33,g65,g60
n62,g32,g56
n11,g83,g84
n27,g4,g93
n50,g67,g4
n44,g59,g78
n12,g5,g74
n67,g45,g88
n75,g12,g1
n0,g27,g8
n22,g9,g10
n58,g75,g82
n36,g29,g95
n42,g62,g66
n61,g40,g34
n3,g65,g42
n29,g99,g42
n47,g76,g73
n49,g14,g10
n52,g41,g51
n59,g13,g95
n57,g19,g70
n66,g66,g47
n37,g81,g75
n13,g67,g84
n40,g92,g56
n19,g21,g97
n46,g90,g9
n7,g57,g35
n15,g95,g87
n48,g29,g22
n41,g31,g25
n76,g12,g43
n64,g58,g78
n56,g38,g44
n2,g60,g67
n1,g97,g88
