n70,g81,g38
n65,g15,g39
n6,g49,g13
n35,g2,g86
n4,g43,g44
n32,g95,g28
n72,g89,g15
n74,g43,g2
n26,g50,g21
n21,g67,g63
n60,g37,g72
n20,g92,g18
n73,g98,g71
n51,g44,g0
n69,g46,g16
n71,g16,g26
n28,g8,g55
n14,g58,g14
n45,g88,g35
n39,g62,g37
n5,g90,g87
n23,g85,g11
n24,g11,g15
n54,g26,g36
n16,g96,g69
n17,g0,g74
n18,g35,g49
n63,g88,g25
n9,g42,g64
n25,g27,g65
n30,g52,g68
n31,g36,g11
n10,g52,g30
n43,g46,g27
n68,g72,g27
n34,g52,g47
n8,g38,g66
n53,g91,g5
n55,g31,g43
n38,g74,g60
n33,g33,g62
n62,g23,g83
n11,g67,g19
n27,g89,g26
n50,g91,g35
n44,g25,g87
n12,g88,g96
n67,g90,g51
n75,g72,g1
n0,g78,g59
n22,g86,g90
n58,g5,g7
n36,g20,g25
n42,g22,g19
n61,g20,g79
n3,g41,g17
n29,g83,g6
n47,g47,g87
n49,g82,g7
n52,g82,g44
n59,g61,g91
n57,g93,g50
n66,g93,g80
n37,g54,g21
n13,g55,g46
n40,g16,g11
n19,g78,g96
n46,g99,g18
n7,g87,g61
n15,g95,g54
n48,g56,g86
n41,g20,g51
n76,g94,g61
n64,g75,g8
n56,g5,g71
n2,g43,g41
n1,g11,g72
