n70,g36,g33
n65,g63,g44
n6,g99,g12
n35,g53,g75
n4,g47,g90
n32,g84,g81
n26,g98,g7
n21,g65,g7
n60,g53,g52
n20,g99,g3
n51,g77,g31
n69,g35,g41
n28,g15,g7
n14,g26,g99
n45,g3,g85
n39,g16,g41
n5,g5,g30
n23,g64,g75
n24,g75,g24
n54,g70,g88
n16,g50,g0
n17,g33,g79
n18,g57,g68
n63,g35,g81
n9,g18,g6
n25,g77,g0
n30,g46,g10
n31,g5,g32
n10,g32,g17
n43,g60,g96
n68,g32,g65
n34,g56,g13
n8,g43,g46
n53,g57,g67
n55,g94,g52
n38,g1,g29
n33,g66,g57
n62,g40,g96
n11,g47,g81
n27,g86,g57
n50,g40,g35
n44,g9,g0
n12,g67,g87
n67,g68,g50
n0,g68,g20
n22,g78,g4
n58,g38,g74
n36,g8,g86
n42,g18,g72
n61,g79,g48
n3,g92,g86
n29,g65,g50
n47,g61,g68
n49,g7,g9
n52,g35,g90
n59,g35,g77
n57,g88,g68
n66,g64,g52
n37,g4,g54
n13,g70,g89
n40,g61,g43
n19,g17,g82
n46,g11,g49
n7,g59,g27
n15,g30,g89
n48,g43,g85
n41,g58,g48
n64,g70,g92
n56,g26,g1
n2,g78,g2
n1,g11,g13
