n70,g17,g56
n65,g22,g34
n6,g43,g59
n35,g4,g52
n4,g34,g0
n32,g58,g49
n72,g64,g71
n74,g67,g19
n26,g89,g40
n21,g14,g45
n60,g74,g26
n20,g92,g43
n73,g0,g15
n51,g35,g73
n69,g81,g54
n71,g48,g67
n28,g84,g77
n77,g61,g25
n14,g78,g44
n45,g5,g35
n39,g45,g42
n5,g99,g34
n23,g31,g25
n24,g43,g86
n54,g12,g9
n16,g24,g71
n82,g86,g50
n17,g98,g61
n18,g74,g87
n63,g28,g22
n9,g77,g39
n25,g33,g60
n30,g80,g31
n31,g88,g44
n10,g71,g46
n43,g46,g61
n68,g49,g75
n34,g2,g75
n8,g35,g77
n79,g1,g16
n53,g98,g65
n55,g2,g18
n38,g27,g30
n33,g77,g30
n62,g13,g46
n11,g50,g76
n27,g80,g12
n50,g5,g57
n44,g93,g34
n12,g79,g81
n67,g69,g36
n75,g3,g96
n80,g48,g74
n0,g12,g13
n22,g67,g49
n81,g47,g76
n58,g91,g88
n36,g94,g96
n42,g74,g82
n61,g11,g4
n78,g29,g79
n3,g84,g55
n29,g3,g64
n47,g29,g1
n49,g10,g66
n52,g83,g7
n59,g1,g88
n57,g10,g15
n66,g48,g77
n37,g32,g87
n13,g75,g68
n40,g54,g6
n19,g37,g3
n46,g84,g70
n7,g54,g84
n15,g53,g34
n48,g30,g7
n41,g59,g82
n76,g40,g79
n64,g73,g58
n56,g42,g20
n2,g11,g29
n1,g92,g4
