n70,g22,g48
n65,g57,g20
n6,g78,g34
n35,g55,g78
n4,g4,g61
n32,g52,g86
n72,g70,g39
n74,g2,g49
n26,g72,g60
n21,g16,g72
n60,g49,g62
n20,g84,g21
n73,g89,g21
n51,g55,g68
n69,g29,g62
n71,g24,g20
n28,g39,g41
n14,g74,g55
n45,g17,g16
n39,g16,g29
n5,g36,g1
n23,g66,g45
n24,g67,g73
n54,g74,g67
n16,g11,g30
n17,g49,g3
n18,g6,g56
n63,g29,g40
n9,g39,g11
n25,g60,g46
n30,g3,g8
n31,g0,g83
n10,g43,g90
n43,g35,g52
n68,g29,g8
n34,g50,g92
n8,g28,g64
n53,g36,g75
n55,g15,g95
n38,g87,g51
n33,g39,g31
n62,g16,g75
n11,g19,g51
n27,g92,g26
n50,g60,g17
n44,g69,g30
n12,g1,g0
n67,g15,g73
n75,g79,g21
n0,g38,g89
n22,g27,g20
n58,g43,g27
n36,g51,g33
n42,g75,g26
n61,g60,g30
n3,g48,g97
n29,g63,g45
n47,g55,g18
n49,g32,g26
n52,g57,g15
n59,g93,g58
n57,g16,g84
n66,g77,g68
n37,g63,g83
n13,g81,g6
n40,g25,g36
n19,g39,g3
n46,g32,g0
n7,g28,g50
n15,g2,g1
n48,g41,g27
n41,g0,g98
n76,g82,g34
n64,g62,g38
n56,g83,g21
n2,g44,g18
n1,g52,g88
