n70,g78,g98
n65,g54,g86
n6,g88,g90
n35,g42,g83
n4,g70,g34
n32,g16,g5
n72,g64,g6
n74,g48,g88
n26,g8,g53
n21,g14,g65
n60,g65,g47
n20,g64,g52
n73,g45,g75
n51,g43,g88
n69,g64,g80
n71,g14,g83
n28,g58,g93
n14,g68,g79
n45,g18,g92
n39,g43,g49
n5,g46,g38
n23,g25,g96
n24,g83,g40
n54,g52,g43
n16,g69,g32
n17,g76,g62
n18,g8,g25
n63,g25,g90
n9,g42,g24
n25,g83,g2
n30,g15,g73
n31,g88,g20
n10,g97,g68
n43,g21,g16
n68,g36,g67
n34,g93,g6
n8,g95,g35
n53,g96,g3
n55,g61,g82
n38,g73,g90
n33,g65,g76
n62,g74,g15
n11,g31,g40
n27,g14,g79
n50,g53,g76
n44,g16,g62
n12,g48,g92
n67,g87,g62
n75,g18,g38
n0,g13,g80
n22,g96,g53
n58,g80,g36
n36,g25,g6
n42,g1,g31
n61,g18,g95
n3,g95,g26
n29,g12,g29
n47,g66,g84
n49,g75,g93
n52,g96,g92
n59,g29,g61
n57,g93,g53
n66,g66,g30
n37,g90,g97
n13,g32,g34
n40,g21,g62
n19,g75,g47
n46,g51,g42
n7,g68,g80
n15,g61,g13
n48,g49,g16
n41,g59,g83
n76,g60,g22
n64,g26,g22
n56,g85,g63
n2,g91,g64
n1,g12,g2
