n0,g59,g35
n1,g48,g34
n2,g56,g43
n3,g87,g74
n4,g0,g68
n5,g77,g59
n6,g16,g6
n7,g77,g90
n8,g13,g71
n9,g84,g75
n10,g24,g77
n11,g18,g89
n12,g1,g15
n13,g95,g38
n14,g82,g51
n15,g73,g68
n16,g75,g38
n17,g63,g69
n18,g40,g51
n19,g24,g19
n20,g85,g52
n21,g12,g58
n22,g0,g13
n23,g98,g18
n24,g7,g25
n25,g33,g48
n26,g1,g17
n27,g30,g28
n28,g36,g56
n29,g37,g29
n30,g65,g84
n31,g56,g71
n32,g61,g52
n33,g89,g50
n34,g13,g51
n35,g52,g1
n36,g93,g81
n37,g17,g49
n38,g69,g44
n39,g8,g72
n40,g18,g72
n41,g43,g69
n42,g50,g38
n43,g22,g69
n44,g22,g48
n45,g3,g55
n46,g99,g56
n47,g33,g77
n48,g38,g14
n49,g83,g25
n50,g65,g43
n51,g41,g44
n52,g65,g6
n53,g52,g11
n54,g52,g65
n55,g86,g48
n56,g44,g63
n57,g33,g78
n58,g5,g26
n59,g55,g72
n60,g5,g31
n61,g45,g50
n62,g21,g11
n63,g57,g73
n64,g54,g70
n65,g89,g29
n66,g75,g61
n67,g78,g30
n68,g66,g76
n69,g8,g48
n70,g95,g94
n71,g39,g68
n72,g84,g90
n73,g60,g30
n74,g81,g45
n75,g91,g77
n76,g29,g11
n77,g61,g19
n78,g90,g73
n79,g78,g4
n80,g25,g84
n81,g45,g86
n82,g4,g79
n83,g70,g14
n84,g54,g66
n85,g23,g85
n86,g31,g63
n87,g22,g7
n88,g88,g41
n89,g34,g68
n90,g7,g14
n91,g98,g13
n92,g0,g36
n93,g15,g51
n94,g97,g81
n95,g49,g41
n96,g22,g25
n97,g97,g3
n98,g15,g10
n99,g82,g61
