n0,g24,g65
n1,g45,g26
n2,g72,g7
n3,g26,g70
n4,g62,g1
n5,g92,g82
n6,g81,g68
n7,g55,g63
n8,g62,g40
n9,g14,g4
n10,g69,g36
n11,g13,g2
n12,g89,g11
n13,g93,g3
n14,g94,g70
n15,g83,g14
n16,g35,g61
n17,g56,g96
n18,g37,g67
n19,g15,g93
n20,g94,g78
n21,g40,g93
n22,g38,g46
n23,g28,g0
n24,g75,g98
n25,g75,g54
n26,g88,g57
n27,g6,g47
n28,g78,g19
n29,g15,g44
n30,g88,g60
n31,g34,g62
n32,g6,g84
n33,g51,g8
n34,g56,g0
n35,g0,g90
n36,g5,g57
n37,g54,g92
n38,g87,g20
n39,g25,g8
n40,g4,g11
n41,g14,g98
n42,g70,g47
n43,g79,g20
n44,g96,g73
n45,g72,g44
n46,g31,g97
n47,g42,g9
n48,g83,g38
n49,g46,g84
n50,g99,g16
n51,g25,g93
n52,g81,g34
n53,g32,g76
n54,g66,g89
n55,g7,g29
n56,g97,g26
n57,g89,g75
n58,g82,g32
n59,g11,g86
n60,g91,g48
n61,g78,g26
n62,g70,g21
n63,g18,g81
n64,g9,g62
n65,g40,g24
n66,g75,g74
n67,g67,g87
n68,g37,g54
n69,g33,g19
n70,g22,g64
n71,g9,g3
n72,g42,g40
n73,g35,g3
n74,g20,g13
n75,g64,g88
n76,g29,g68
n77,g45,g58
n78,g17,g57
n79,g28,g53
n80,g61,g15
n81,g41,g89
n82,g80,g42
n83,g55,g4
n84,g8,g56
n85,g49,g36
n86,g72,g83
n87,g17,g67
n88,g13,g22
n89,g33,g24
n90,g4,g96
n91,g15,g66
n92,g29,g48
n93,g19,g24
n94,g2,g93
n95,g15,g77
n96,g98,g92
n97,g78,g91
n98,g31,g90
n99,g66,g99
