n0,g87,g18
n1,g1,g47
n2,g5,g75
n3,g24,g19
n4,g64,g17
n5,g94,g47
n6,g12,g33
n7,g29,g73
n8,g91,g56
n9,g16,g95
n10,g35,g6
n11,g99,g58
n12,g2,g13
n13,g58,g73
n14,g67,g90
n15,g65,g52
n16,g1,g76
n17,g63,g8
n18,g64,g29
n19,g6,g33
n20,g52,g36
n21,g78,g24
n22,g56,g68
n23,g19,g82
n24,g66,g40
n25,g10,g32
n26,g7,g12
n27,g20,g64
n28,g50,g16
n29,g30,g73
n30,g20,g70
n31,g53,g56
n32,g25,g36
n33,g98,g84
n34,g45,g85
n35,g79,g61
n36,g16,g43
n37,g43,g4
n38,g57,g21
n39,g88,g58
n40,g59,g3
n41,g20,g12
n42,g97,g30
n43,g68,g12
n44,g67,g1
n45,g91,g87
n46,g3,g70
n47,g47,g93
n48,g41,g35
n49,g75,g89
n50,g83,g62
n51,g27,g76
n52,g32,g34
n53,g70,g27
n54,g32,g33
n55,g91,g26
n56,g96,g89
n57,g31,g28
n58,g59,g40
n59,g56,g14
n60,g12,g98
n61,g15,g17
n62,g37,g33
n63,g11,g88
n64,g84,g81
n65,g36,g90
n66,g82,g50
n67,g23,g71
n68,g45,g69
n69,g42,g74
n70,g66,g23
n71,g85,g39
n72,g20,g19
n73,g34,g36
n74,g40,g57
n75,g79,g84
n76,g8,g85
n77,g84,g19
n78,g63,g99
n79,g14,g83
n80,g44,g24
n81,g65,g61
n82,g69,g10
n83,g70,g37
n84,g55,g15
n85,g28,g68
n86,g69,g87
n87,g53,g99
n88,g1,g49
n89,g0,g89
n90,g36,g5
n91,g34,g57
n92,g34,g73
n93,g22,g96
n94,g79,g85
n95,g27,g3
n96,g99,g35
n97,g38,g6
n98,g38,g49
n99,g39,g78
