n70,g95,g13
n65,g7,g77
n6,g1,g78
n35,g68,g30
n4,g84,g40
n32,g15,g99
n72,g15,g47
n74,g43,g40
n26,g99,g62
n21,g94,g79
n60,g54,g5
n20,g69,g81
n73,g52,g47
n51,g1,g43
n69,g13,g94
n71,g84,g80
n28,g30,g10
n77,g50,g95
n14,g23,g94
n45,g4,g18
n39,g39,g17
n5,g17,g38
n23,g36,g93
n24,g63,g80
n54,g73,g49
n16,g53,g28
n17,g17,g42
n18,g81,g31
n63,g91,g58
n9,g67,g25
n25,g42,g28
n30,g42,g44
n31,g60,g92
n10,g54,g90
n43,g60,g7
n68,g6,g33
n34,g45,g19
n8,g82,g72
n79,g39,g95
n53,g71,g21
n55,g17,g34
n38,g73,g12
n33,g7,g84
n62,g10,g64
n11,g70,g15
n27,g2,g77
n50,g10,g16
n44,g67,g20
n12,g41,g63
n67,g69,g7
n75,g59,g14
n80,g5,g88
n0,g27,g44
n22,g70,g83
n58,g9,g54
n36,g3,g56
n42,g44,g86
n61,g32,g73
n78,g38,g68
n3,g43,g64
n29,g23,g43
n47,g81,g45
n49,g28,g43
n52,g67,g61
n59,g36,g25
n57,g41,g98
n66,g82,g60
n37,g84,g49
n13,g78,g42
n40,g22,g53
n19,g88,g6
n46,g79,g2
n7,g25,g28
n15,g76,g10
n48,g6,g70
n41,g27,g8
n76,g69,g19
n64,g78,g18
n56,g68,g72
n2,g90,g57
n1,g88,g8
