n70,g36,g38
n65,g52,g26
n6,g65,g24
n35,g25,g17
n4,g8,g43
n32,g85,g74
n26,g52,g84
n21,g95,g55
n60,g38,g12
n20,g95,g82
n51,g85,g66
n69,g39,g61
n71,g89,g26
n28,g72,g71
n14,g95,g7
n45,g53,g73
n39,g0,g71
n5,g95,g63
n23,g21,g12
n24,g41,g40
n54,g40,g29
n16,g87,g64
n17,g94,g78
n18,g92,g48
n63,g44,g20
n9,g72,g35
n25,g5,g49
n30,g15,g57
n31,g39,g83
n10,g14,g61
n43,g30,g86
n68,g56,g45
n34,g48,g39
n8,g57,g17
n53,g40,g49
n55,g66,g96
n38,g91,g78
n33,g67,g20
n62,g1,g37
n11,g42,g97
n27,g26,g77
n50,g81,g5
n44,g69,g4
n12,g78,g9
n67,g37,g42
n0,g16,g44
n22,g92,g68
n58,g72,g52
n36,g96,g79
n42,g58,g13
n61,g76,g57
n3,g55,g20
n29,g83,g70
n47,g55,g66
n49,g78,g89
n52,g31,g48
n59,g51,g30
n57,g79,g94
n66,g94,g48
n37,g55,g16
n13,g64,g86
n40,g34,g15
n19,g35,g52
n46,g96,g60
n7,g24,g3
n15,g8,g50
n48,g79,g15
n41,g71,g4
n64,g77,g82
n56,g62,g76
n2,g30,g76
n1,g86,g12
