n70,g76,g91
n65,g18,g81
n6,g95,g1
n35,g91,g73
n4,g14,g28
n32,g8,g44
n26,g38,g19
n21,g54,g67
n60,g74,g14
n20,g96,g71
n51,g5,g27
n69,g3,g20
n71,g30,g25
n28,g84,g66
n14,g13,g20
n45,g58,g55
n39,g43,g80
n5,g61,g85
n23,g37,g53
n24,g67,g79
n54,g88,g86
n16,g75,g21
n17,g58,g26
n18,g85,g50
n63,g94,g80
n9,g99,g84
n25,g53,g28
n30,g70,g15
n31,g66,g87
n10,g80,g74
n43,g22,g41
n68,g96,g93
n34,g77,g69
n8,g92,g4
n53,g43,g46
n55,g93,g7
n38,g14,g71
n33,g29,g64
n62,g55,g8
n11,g87,g56
n27,g97,g49
n50,g26,g3
n44,g51,g64
n12,g98,g18
n67,g80,g41
n0,g65,g83
n22,g44,g72
n58,g1,g67
n36,g52,g3
n42,g56,g48
n61,g4,g47
n3,g39,g70
n29,g42,g70
n47,g65,g47
n49,g29,g63
n52,g53,g80
n59,g66,g88
n57,g19,g99
n66,g50,g60
n37,g72,g11
n13,g39,g20
n40,g1,g49
n19,g37,g64
n46,g79,g22
n7,g33,g57
n15,g78,g19
n48,g10,g88
n41,g47,g29
n64,g60,g90
n56,g62,g30
n2,g48,g50
n1,g7,g13
