n0,g23,g4
n1,g41,g96
n2,g13,g54
n3,g59,g61
n4,g5,g59
n5,g40,g79
n6,g44,g0
n7,g71,g75
n8,g8,g92
n9,g66,g47
n10,g38,g34
n11,g17,g87
n12,g80,g61
n13,g70,g81
n14,g66,g71
n15,g47,g45
n16,g82,g26
n17,g83,g21
n18,g11,g91
n19,g7,g71
n20,g83,g27
n21,g30,g34
n22,g53,g20
n23,g55,g79
n24,g45,g55
n25,g71,g44
n26,g32,g94
n27,g80,g98
n28,g84,g35
n29,g56,g53
n30,g59,g65
n31,g60,g83
n32,g53,g97
n33,g90,g10
n34,g29,g10
n35,g42,g18
n36,g0,g34
n37,g18,g15
n38,g18,g44
n39,g27,g73
n40,g81,g76
n41,g87,g41
n42,g6,g28
n43,g87,g11
n44,g4,g92
n45,g97,g59
n46,g19,g13
n47,g49,g30
n48,g76,g12
n49,g72,g93
