n0,g33,g70
n1,g52,g13
n2,g9,g33
n3,g17,g3
n4,g76,g23
n5,g11,g51
n6,g99,g68
n7,g16,g43
n8,g48,g15
n9,g74,g6
n10,g81,g73
n11,g48,g92
n12,g42,g13
n13,g0,g71
n14,g7,g66
n15,g49,g4
n16,g13,g98
n17,g82,g23
n18,g1,g54
n19,g88,g32
n20,g2,g6
n21,g95,g1
n22,g19,g87
n23,g87,g5
n24,g44,g94
n25,g44,g22
n26,g43,g31
n27,g40,g18
n28,g99,g13
n29,g3,g67
n30,g27,g53
n31,g16,g49
n32,g35,g81
n33,g22,g25
n34,g65,g47
n35,g20,g87
n36,g99,g11
n37,g80,g64
n38,g67,g58
n39,g34,g90
n40,g58,g92
n41,g89,g22
n42,g63,g6
n43,g25,g28
n44,g94,g28
n45,g67,g35
n46,g31,g0
n47,g24,g23
n48,g87,g74
n49,g83,g80
n50,g16,g48
n51,g56,g41
n52,g64,g32
n53,g14,g76
n54,g6,g51
n55,g41,g42
n56,g94,g46
n57,g36,g56
n58,g54,g64
n59,g14,g42
