n70,g73,g51
n65,g74,g9
n6,g89,g31
n35,g44,g30
n4,g47,g99
n32,g58,g64
n26,g80,g69
n21,g24,g21
n60,g70,g44
n20,g79,g97
n51,g72,g11
n69,g58,g24
n71,g65,g11
n28,g52,g88
n14,g23,g78
n45,g11,g84
n39,g15,g13
n5,g83,g80
n23,g70,g81
n24,g51,g82
n54,g91,g98
n16,g16,g23
n17,g15,g59
n18,g7,g64
n63,g18,g29
n9,g53,g92
n25,g31,g88
n30,g48,g50
n31,g36,g44
n10,g96,g0
n43,g70,g71
n68,g6,g96
n34,g11,g2
n8,g59,g23
n53,g82,g30
n55,g45,g15
n38,g54,g6
n33,g44,g5
n62,g4,g65
n11,g32,g15
n27,g27,g55
n50,g70,g49
n44,g75,g76
n12,g7,g56
n67,g53,g25
n0,g6,g8
n22,g30,g25
n58,g68,g97
n36,g90,g96
n42,g61,g75
n61,g82,g74
n3,g14,g53
n29,g42,g16
n47,g61,g90
n49,g5,g91
n52,g55,g3
n59,g46,g30
n57,g95,g12
n66,g99,g50
n37,g1,g40
n13,g81,g36
n40,g37,g24
n19,g46,g52
n46,g80,g50
n7,g66,g18
n15,g50,g58
n48,g34,g95
n41,g1,g98
n64,g96,g44
n56,g12,g72
n2,g6,g29
n1,g34,g73
