n70,g24,g35
n6,g2,g77
n4,g67,g74
n22,g57,g56
n21,g22,g66
n60,g78,g96
n79,g85,g26
n74,g62,g50
n69,g37,g19
n28,g65,g46
n14,g53,g28
n45,g31,g44
n5,g75,g23
n23,g94,g25
n24,g80,g53
n17,g32,g16
n54,g63,g85
n77,g94,g0
n63,g1,g37
n9,g50,g44
n25,g64,g34
n87,g4,g94
n10,g33,g87
n68,g91,g31
n34,g28,g72
n72,g64,g46
n73,g75,g39
n55,g67,g87
n44,g9,g60
n16,g22,g75
n80,g55,g70
n81,g79,g83
n75,g20,g71
n66,g34,g77
n47,g98,g87
n52,g36,g59
n59,g78,g62
n57,g36,g52
n71,g57,g7
n37,g41,g86
n31,g14,g90
n19,g78,g16
n46,g98,g43
n65,g70,g50
n85,g90,g25
n1,g4,g49
n84,g59,g42
n32,g29,g52
n26,g56,g42
n20,g93,g2
n53,g91,g38
n56,g32,g36
n76,g7,g18
n38,g30,g97
n13,g74,g95
n67,g26,g79
n41,g0,g20
n18,g13,g57
n11,g52,g8
n30,g53,g92
n35,g18,g96
n8,g23,g44
n83,g61,g48
n39,g69,g55
n33,g96,g49
n27,g68,g23
n50,g41,g85
n12,g93,g81
n82,g77,g65
n0,g79,g68
n43,g23,g41
n58,g69,g32
n36,g26,g7
n42,g2,g63
n61,g66,g20
n78,g42,g25
n3,g97,g59
n29,g44,g90
n49,g78,g22
n88,g63,g74
n86,g42,g65
n62,g30,g14
n40,g84,g82
n51,g63,g18
n7,g85,g61
n15,g9,g82
n48,g10,g7
n64,g50,g61
n2,g73,g74
