n70,g28,g9
n65,g26,g15
n6,g48,g79
n35,g94,g60
n4,g93,g14
n32,g94,g82
n72,g57,g88
n74,g84,g69
n26,g33,g88
n21,g34,g14
n60,g16,g85
n20,g42,g28
n73,g7,g46
n51,g81,g12
n69,g89,g94
n71,g39,g45
n28,g44,g79
n77,g98,g99
n14,g35,g41
n45,g82,g25
n39,g29,g91
n5,g68,g90
n23,g90,g93
n24,g51,g55
n54,g58,g40
n16,g35,g39
n17,g78,g26
n18,g79,g73
n63,g89,g16
n9,g84,g41
n25,g7,g2
n30,g36,g51
n31,g89,g29
n10,g99,g16
n43,g33,g28
n68,g75,g45
n34,g31,g43
n8,g17,g87
n79,g96,g89
n53,g38,g73
n55,g62,g5
n38,g54,g34
n33,g50,g42
n62,g33,g53
n11,g77,g10
n27,g36,g67
n50,g51,g88
n44,g62,g69
n12,g51,g52
n67,g66,g58
n75,g86,g79
n0,g45,g58
n22,g20,g3
n58,g97,g25
n36,g92,g67
n42,g13,g49
n61,g13,g75
n78,g57,g26
n3,g66,g83
n29,g79,g56
n47,g33,g84
n49,g97,g26
n52,g70,g13
n59,g74,g75
n57,g7,g43
n66,g38,g74
n37,g17,g27
n13,g61,g63
n40,g88,g78
n19,g26,g20
n46,g64,g69
n7,g91,g82
n15,g74,g93
n48,g90,g45
n41,g74,g30
n76,g5,g87
n64,g35,g48
n56,g10,g93
n2,g27,g11
n1,g39,g56
