n70,g79,g52
n65,g82,g32
n6,g78,g89
n35,g13,g14
n4,g41,g42
n32,g98,g29
n72,g59,g17
n74,g70,g50
n26,g43,g32
n21,g9,g6
n60,g57,g36
n20,g6,g71
n73,g2,g44
n51,g69,g25
n69,g15,g95
n71,g38,g68
n28,g97,g46
n77,g48,g36
n14,g44,g95
n45,g37,g88
n39,g98,g26
n5,g5,g86
n23,g61,g57
n24,g55,g54
n54,g20,g74
n16,g74,g22
n17,g67,g92
n18,g32,g65
n63,g53,g28
n9,g74,g13
n25,g52,g30
n30,g13,g55
n31,g8,g4
n10,g94,g49
n43,g89,g54
n68,g46,g86
n34,g17,g95
n8,g15,g93
n79,g67,g78
n53,g56,g18
n55,g42,g99
n38,g97,g11
n33,g63,g14
n62,g2,g42
n11,g41,g80
n27,g16,g74
n50,g93,g34
n44,g6,g72
n12,g62,g39
n67,g45,g61
n75,g41,g76
n0,g65,g1
n22,g42,g55
n58,g13,g42
n36,g57,g96
n42,g21,g93
n61,g4,g10
n78,g66,g76
n3,g7,g35
n29,g65,g59
n47,g37,g57
n49,g49,g33
n52,g5,g15
n59,g54,g66
n57,g31,g36
n66,g35,g87
n37,g71,g1
n13,g17,g79
n40,g56,g15
n19,g73,g25
n46,g82,g7
n7,g68,g41
n15,g70,g63
n48,g18,g98
n41,g38,g19
n76,g70,g11
n64,g17,g23
n56,g13,g89
n2,g11,g56
n1,g78,g29
