n70,g39,g96
n65,g15,g22
n6,g88,g4
n35,g34,g51
n4,g19,g1
n32,g75,g87
n72,g52,g89
n74,g19,g21
n26,g60,g53
n21,g55,g76
n60,g12,g43
n20,g12,g93
n73,g59,g42
n51,g11,g63
n69,g79,g14
n71,g72,g80
n28,g21,g47
n77,g60,g67
n14,g30,g6
n45,g30,g76
n39,g49,g17
n5,g37,g79
n23,g41,g79
n24,g38,g15
n54,g72,g50
n16,g58,g44
n17,g23,g9
n18,g88,g26
n63,g37,g2
n9,g24,g55
n25,g62,g84
n30,g72,g54
n31,g87,g72
n10,g60,g59
n43,g68,g26
n68,g45,g42
n34,g35,g8
n8,g84,g18
n79,g56,g0
n53,g85,g10
n55,g42,g77
n38,g57,g99
n33,g5,g80
n62,g16,g5
n11,g47,g14
n27,g68,g50
n50,g43,g99
n44,g77,g82
n12,g9,g19
n67,g34,g66
n75,g12,g63
n0,g98,g25
n22,g72,g14
n58,g3,g98
n36,g35,g47
n42,g95,g10
n61,g20,g90
n78,g94,g9
n3,g37,g77
n29,g62,g51
n47,g41,g28
n49,g21,g49
n52,g81,g7
n59,g36,g48
n57,g60,g1
n66,g57,g0
n37,g37,g94
n13,g5,g97
n40,g21,g95
n19,g29,g85
n46,g82,g49
n7,g27,g15
n15,g49,g9
n48,g11,g68
n41,g46,g38
n76,g2,g75
n64,g58,g84
n56,g23,g58
n2,g95,g31
n1,g59,g73
