n70,g66,g64
n65,g21,g10
n6,g55,g91
n35,g84,g34
n4,g5,g68
n32,g1,g59
n72,g36,g21
n74,g77,g68
n26,g23,g53
n21,g43,g1
n60,g20,g77
n20,g22,g82
n73,g86,g8
n51,g61,g18
n69,g37,g26
n71,g34,g16
n28,g51,g14
n77,g38,g28
n14,g19,g95
n45,g64,g88
n39,g27,g58
n5,g38,g58
n23,g59,g78
n24,g53,g0
n54,g90,g14
n16,g88,g96
n17,g15,g9
n18,g83,g4
n63,g22,g41
n9,g46,g15
n25,g79,g7
n30,g67,g97
n31,g92,g25
n10,g37,g8
n43,g61,g33
n68,g2,g43
n34,g50,g54
n8,g72,g27
n79,g63,g48
n53,g37,g35
n55,g89,g0
n38,g26,g63
n33,g5,g67
n62,g3,g72
n11,g32,g91
n27,g35,g63
n50,g14,g84
n44,g85,g49
n12,g36,g16
n67,g60,g89
n75,g40,g6
n0,g76,g7
n22,g76,g33
n58,g25,g78
n36,g10,g68
n42,g5,g26
n61,g48,g97
n78,g85,g71
n3,g78,g3
n29,g82,g12
n47,g60,g49
n49,g31,g50
n52,g87,g56
n59,g61,g35
n57,g22,g48
n66,g11,g8
n37,g31,g71
n13,g21,g97
n40,g71,g78
n19,g14,g35
n46,g46,g48
n7,g64,g74
n15,g67,g53
n48,g34,g28
n41,g12,g28
n76,g13,g57
n64,g57,g48
n56,g61,g14
n2,g25,g21
n1,g45,g75
