n70,g90,g1
n65,g63,g28
n6,g65,g19
n35,g55,g41
n4,g0,g2
n32,g63,g55
n72,g6,g45
n83,g71,g70
n74,g36,g73
n26,g65,g51
n21,g91,g59
n60,g72,g23
n20,g22,g20
n73,g5,g48
n51,g57,g21
n69,g75,g41
n71,g13,g14
n28,g8,g79
n77,g42,g27
n14,g79,g35
n45,g34,g22
n39,g25,g28
n5,g8,g43
n23,g94,g0
n24,g99,g82
n54,g74,g52
n16,g14,g2
n82,g16,g66
n17,g91,g0
n18,g42,g23
n63,g97,g38
n9,g17,g80
n25,g19,g42
n30,g79,g50
n31,g91,g87
n10,g64,g65
n43,g12,g54
n68,g31,g36
n34,g25,g44
n8,g79,g73
n79,g87,g64
n53,g2,g56
n55,g40,g74
n38,g1,g77
n33,g77,g68
n62,g65,g18
n11,g0,g16
n27,g98,g67
n50,g88,g81
n44,g50,g28
n12,g65,g56
n67,g66,g73
n75,g86,g51
n80,g88,g52
n0,g5,g57
n22,g1,g91
n81,g5,g23
n58,g29,g88
n36,g86,g32
n42,g60,g76
n61,g93,g83
n78,g51,g54
n3,g70,g99
n29,g47,g74
n47,g50,g63
n49,g8,g77
n52,g75,g29
n59,g82,g63
n57,g39,g3
n66,g56,g14
n37,g53,g36
n13,g49,g14
n40,g64,g59
n19,g79,g38
n46,g74,g78
n7,g77,g87
n15,g52,g98
n48,g70,g35
n41,g95,g52
n76,g40,g73
n64,g5,g96
n56,g91,g9
n2,g0,g56
n1,g12,g62
