n70,g29,g99
n65,g76,g88
n6,g86,g64
n35,g59,g12
n4,g19,g70
n32,g79,g67
n26,g66,g34
n21,g8,g49
n60,g25,g50
n20,g86,g5
n51,g80,g10
n69,g70,g44
n28,g24,g53
n14,g52,g19
n45,g26,g79
n39,g60,g46
n5,g30,g86
n23,g69,g12
n24,g40,g12
n54,g9,g52
n16,g72,g31
n17,g2,g43
n18,g62,g24
n63,g45,g66
n9,g50,g36
n25,g75,g16
n30,g28,g30
n31,g34,g91
n10,g3,g69
n43,g98,g78
n68,g46,g19
n34,g80,g87
n8,g10,g69
n53,g27,g57
n55,g65,g20
n38,g61,g41
n33,g13,g60
n62,g43,g81
n11,g24,g58
n27,g53,g16
n50,g90,g69
n44,g73,g17
n12,g62,g1
n67,g23,g34
n0,g46,g8
n22,g78,g87
n58,g9,g80
n36,g71,g50
n42,g42,g77
n61,g58,g65
n3,g67,g21
n29,g50,g53
n47,g20,g29
n49,g41,g14
n52,g40,g9
n59,g38,g54
n57,g54,g28
n66,g46,g66
n37,g91,g94
n13,g74,g38
n40,g54,g63
n19,g18,g20
n46,g77,g17
n7,g10,g9
n15,g21,g68
n48,g53,g74
n41,g1,g15
n64,g30,g0
n56,g78,g22
n2,g63,g16
n1,g64,g62
