n70,g34,g54
n65,g79,g92
n6,g73,g15
n35,g76,g47
n4,g23,g68
n32,g65,g89
n72,g0,g83
n74,g56,g5
n26,g97,g70
n21,g10,g15
n60,g76,g80
n20,g97,g36
n73,g20,g63
n51,g59,g65
n69,g3,g94
n71,g40,g72
n28,g99,g69
n77,g95,g46
n14,g59,g45
n45,g15,g84
n39,g76,g87
n5,g56,g79
n23,g69,g55
n24,g36,g88
n54,g99,g8
n16,g28,g67
n17,g60,g67
n18,g86,g55
n63,g98,g83
n9,g55,g29
n25,g75,g16
n30,g6,g0
n31,g1,g33
n10,g42,g43
n43,g21,g45
n68,g39,g63
n34,g54,g74
n8,g2,g73
n53,g23,g87
n55,g0,g57
n38,g35,g34
n33,g97,g58
n62,g27,g13
n11,g18,g14
n27,g61,g91
n50,g8,g1
n44,g50,g94
n12,g9,g93
n67,g27,g96
n75,g46,g93
n0,g76,g11
n22,g51,g33
n58,g39,g56
n36,g14,g42
n42,g68,g10
n61,g57,g48
n3,g77,g18
n29,g95,g11
n47,g1,g57
n49,g2,g94
n52,g60,g47
n59,g39,g66
n57,g46,g69
n66,g17,g83
n37,g23,g26
n13,g80,g24
n40,g52,g93
n19,g64,g92
n46,g74,g30
n7,g25,g77
n15,g77,g68
n48,g24,g52
n41,g0,g84
n76,g3,g53
n64,g72,g14
n56,g41,g4
n2,g29,g99
n1,g50,g11
