n70,g80,g57
n65,g47,g32
n6,g16,g4
n35,g65,g91
n4,g75,g41
n32,g63,g67
n72,g88,g60
n74,g48,g11
n26,g3,g35
n21,g15,g42
n60,g19,g64
n20,g59,g2
n73,g59,g65
n51,g97,g65
n69,g56,g26
n71,g49,g40
n28,g9,g31
n14,g51,g0
n45,g72,g56
n39,g18,g6
n5,g97,g54
n23,g55,g86
n24,g44,g4
n54,g52,g33
n16,g71,g89
n17,g54,g37
n18,g11,g74
n63,g81,g46
n9,g39,g69
n25,g3,g31
n30,g24,g35
n31,g76,g54
n10,g2,g31
n43,g48,g25
n68,g57,g14
n34,g34,g3
n8,g88,g11
n53,g69,g33
n55,g31,g74
n38,g3,g85
n33,g26,g18
n62,g22,g39
n11,g98,g3
n27,g76,g89
n50,g99,g23
n44,g25,g1
n12,g0,g25
n67,g39,g18
n75,g63,g69
n0,g64,g2
n22,g5,g70
n58,g10,g0
n36,g70,g97
n42,g27,g46
n61,g44,g99
n3,g32,g26
n29,g73,g64
n47,g4,g74
n49,g35,g64
n52,g79,g39
n59,g35,g42
n57,g11,g91
n66,g17,g69
n37,g26,g74
n13,g49,g86
n40,g77,g56
n19,g60,g93
n46,g1,g95
n7,g33,g13
n15,g5,g6
n48,g89,g54
n41,g46,g61
n76,g27,g80
n64,g83,g7
n56,g34,g86
n2,g15,g41
n1,g5,g10
