n70,g13,g92
n65,g90,g59
n6,g15,g45
n35,g68,g98
n4,g40,g17
n32,g41,g58
n72,g79,g85
n74,g0,g15
n26,g27,g81
n21,g3,g38
n60,g82,g41
n20,g9,g19
n73,g15,g74
n51,g68,g33
n69,g59,g56
n71,g36,g63
n28,g47,g58
n14,g63,g54
n45,g78,g3
n39,g7,g11
n5,g17,g52
n23,g46,g16
n24,g45,g93
n54,g86,g40
n16,g30,g5
n17,g88,g97
n18,g86,g58
n63,g34,g45
n9,g89,g91
n25,g58,g35
n30,g50,g13
n31,g78,g98
n10,g12,g24
n43,g35,g71
n68,g61,g59
n34,g10,g82
n8,g80,g93
n53,g57,g46
n55,g57,g13
n38,g15,g73
n33,g57,g59
n62,g84,g45
n11,g82,g81
n27,g26,g51
n50,g93,g25
n44,g25,g83
n12,g24,g48
n67,g96,g52
n75,g56,g17
n0,g10,g86
n22,g15,g90
n58,g6,g98
n36,g92,g3
n42,g35,g65
n61,g21,g2
n3,g52,g12
n29,g34,g69
n47,g74,g67
n49,g47,g24
n52,g65,g43
n59,g4,g23
n57,g45,g28
n66,g12,g80
n37,g92,g18
n13,g38,g89
n40,g21,g1
n19,g70,g29
n46,g26,g68
n7,g61,g34
n15,g27,g71
n48,g96,g13
n41,g86,g32
n76,g72,g59
n64,g82,g30
n56,g6,g31
n2,g36,g46
n1,g64,g86
