n0,g47,g65
n1,g17,g34
n2,g19,g31
n3,g63,g4
n4,g50,g26
n5,g53,g63
n6,g81,g33
n7,g82,g64
n8,g24,g50
n9,g28,g29
n10,g67,g96
n11,g26,g96
n12,g90,g54
n13,g25,g81
n14,g62,g60
n15,g58,g38
n16,g94,g99
n17,g11,g32
n18,g7,g69
n19,g49,g46
n20,g65,g98
n21,g66,g18
n22,g45,g91
n23,g72,g26
n24,g9,g66
n25,g49,g6
n26,g63,g75
n27,g34,g23
n28,g87,g94
n29,g54,g62
n30,g49,g16
n31,g17,g89
n32,g64,g8
n33,g98,g26
n34,g14,g43
n35,g9,g11
n36,g48,g78
n37,g38,g79
n38,g46,g16
n39,g59,g44
n40,g20,g19
n41,g53,g57
n42,g66,g13
n43,g98,g13
n44,g32,g62
n45,g58,g79
n46,g29,g13
n47,g36,g71
n48,g64,g92
n49,g90,g68
n50,g58,g55
n51,g79,g66
n52,g91,g69
n53,g10,g79
n54,g94,g33
n55,g32,g43
n56,g72,g17
n57,g0,g25
n58,g10,g95
n59,g92,g15
n60,g24,g71
n61,g27,g89
n62,g32,g55
n63,g32,g82
n64,g97,g88
n65,g34,g0
n66,g75,g99
n67,g27,g72
n68,g18,g33
n69,g67,g34
n70,g55,g78
n71,g93,g99
n72,g49,g84
n73,g20,g72
n74,g37,g40
n75,g71,g41
n76,g55,g98
n77,g31,g64
n78,g45,g97
n79,g63,g68
n80,g69,g34
n81,g66,g39
n82,g27,g13
n83,g35,g46
n84,g27,g52
n85,g2,g41
n86,g19,g3
n87,g93,g30
n88,g69,g89
n89,g99,g12
n90,g78,g3
n91,g20,g96
n92,g86,g91
n93,g63,g6
n94,g31,g45
n95,g33,g56
n96,g41,g56
n97,g73,g46
n98,g71,g77
n99,g96,g48
