n0,g0,g18
n1,g28,g85
n2,g94,g35
n3,g97,g76
n4,g91,g50
n5,g86,g48
n6,g58,g22
n7,g37,g36
n8,g99,g81
n9,g67,g34
n10,g13,g6
n11,g13,g64
n12,g23,g67
n13,g98,g25
n14,g64,g25
n15,g16,g61
n16,g15,g89
n17,g72,g83
n18,g6,g40
n19,g29,g48
n20,g18,g29
n21,g65,g62
n22,g1,g89
n23,g54,g53
n24,g46,g37
n25,g96,g58
n26,g81,g50
n27,g70,g33
n28,g27,g28
n29,g44,g17
n30,g10,g96
n31,g36,g63
n32,g57,g14
n33,g77,g81
n34,g14,g20
n35,g46,g97
n36,g24,g1
n37,g27,g88
n38,g72,g57
n39,g21,g54
n40,g84,g49
n41,g71,g89
n42,g96,g11
n43,g47,g51
n44,g7,g89
n45,g81,g19
n46,g73,g29
n47,g9,g70
n48,g67,g19
n49,g95,g70
n50,g70,g45
n51,g79,g63
n52,g97,g40
n53,g77,g97
n54,g83,g62
n55,g61,g92
n56,g27,g7
n57,g13,g54
n58,g14,g45
n59,g51,g0
n60,g85,g29
n61,g1,g95
n62,g65,g61
n63,g19,g37
n64,g83,g84
n65,g39,g92
n66,g91,g33
n67,g49,g32
n68,g4,g96
n69,g58,g48
n70,g73,g99
n71,g90,g87
n72,g99,g2
n73,g8,g71
n74,g55,g85
n75,g68,g47
n76,g62,g73
n77,g55,g32
n78,g91,g5
n79,g56,g37
n80,g23,g85
n81,g55,g54
n82,g19,g32
n83,g4,g35
n84,g75,g4
n85,g8,g94
n86,g2,g75
n87,g91,g62
n88,g86,g72
n89,g22,g48
n90,g89,g80
n91,g66,g43
n92,g24,g12
n93,g94,g98
n94,g61,g99
n95,g31,g62
n96,g34,g79
n97,g52,g43
n98,g73,g37
n99,g69,g6
