n0,g7,g22
n1,g2,g77
n2,g67,g58
n3,g25,g36
n4,g14,g71
n5,g17,g32
n6,g0,g23
n7,g85,g51
n8,g5,g31
n9,g31,g71
n10,g35,g40
n11,g85,g29
n12,g42,g67
n13,g36,g45
n14,g28,g17
n15,g8,g98
n16,g68,g60
n17,g56,g15
n18,g88,g47
n19,g91,g42
n20,g57,g92
n21,g81,g29
n22,g48,g9
n23,g51,g35
n24,g56,g49
n25,g27,g41
n26,g6,g14
n27,g51,g16
n28,g14,g74
n29,g65,g28
n30,g20,g60
n31,g51,g54
n32,g16,g14
n33,g54,g76
n34,g92,g99
n35,g62,g67
n36,g34,g15
n37,g70,g37
n38,g75,g51
n39,g64,g32
n40,g21,g54
n41,g69,g57
n42,g25,g48
n43,g68,g77
n44,g5,g30
n45,g65,g89
n46,g47,g84
n47,g5,g87
n48,g43,g1
n49,g42,g94
n50,g96,g33
n51,g90,g35
n52,g9,g15
n53,g84,g7
n54,g55,g8
n55,g38,g37
n56,g24,g80
n57,g96,g12
n58,g79,g52
n59,g22,g61
n60,g6,g72
n61,g40,g83
n62,g73,g48
n63,g86,g85
n64,g43,g23
n65,g49,g81
n66,g24,g6
n67,g68,g59
n68,g33,g81
n69,g9,g20
n70,g25,g26
n71,g9,g97
n72,g8,g64
n73,g92,g85
n74,g22,g54
n75,g89,g31
n76,g62,g5
n77,g84,g37
n78,g87,g14
n79,g44,g88
n80,g81,g44
n81,g15,g57
n82,g92,g84
n83,g9,g35
n84,g32,g80
n85,g16,g56
n86,g33,g1
n87,g41,g71
n88,g79,g57
n89,g24,g13
n90,g65,g78
n91,g65,g81
n92,g22,g0
n93,g70,g65
n94,g69,g71
n95,g36,g10
n96,g8,g31
n97,g36,g3
n98,g66,g56
n99,g43,g48
