n0,g33,g88
n1,g47,g74
n2,g56,g44
n3,g8,g91
n4,g55,g23
n5,g52,g94
n6,g41,g93
n7,g32,g42
n8,g64,g35
n9,g58,g20
n10,g12,g13
n11,g74,g70
n12,g82,g33
n13,g74,g68
n14,g95,g78
n15,g48,g45
n16,g52,g38
n17,g18,g6
n18,g46,g41
n19,g0,g75
n20,g45,g63
n21,g34,g4
n22,g34,g86
n23,g67,g20
n24,g65,g80
n25,g46,g78
n26,g92,g18
n27,g45,g6
n28,g67,g18
n29,g90,g4
n30,g87,g52
n31,g97,g72
n32,g37,g84
n33,g45,g51
n34,g23,g13
n35,g50,g41
n36,g30,g97
n37,g88,g11
n38,g60,g67
n39,g13,g72
n40,g42,g12
n41,g6,g20
n42,g13,g59
n43,g5,g23
n44,g81,g33
n45,g27,g21
n46,g90,g61
n47,g61,g85
n48,g43,g16
n49,g77,g45
n50,g56,g63
n51,g15,g78
n52,g67,g33
n53,g62,g71
n54,g70,g98
n55,g17,g29
n56,g23,g39
n57,g71,g60
n58,g27,g0
n59,g27,g36
n60,g58,g28
n61,g10,g5
n62,g98,g60
n63,g30,g98
n64,g62,g9
n65,g11,g49
n66,g14,g15
n67,g38,g13
n68,g93,g18
n69,g8,g7
n70,g60,g62
n71,g15,g98
n72,g59,g20
n73,g18,g52
n74,g9,g57
n75,g50,g80
n76,g76,g44
n77,g64,g10
n78,g48,g58
n79,g10,g12
n80,g94,g55
n81,g77,g46
n82,g93,g32
n83,g15,g73
n84,g38,g82
n85,g63,g98
n86,g79,g30
n87,g11,g94
n88,g50,g23
n89,g1,g21
n90,g43,g42
n91,g10,g1
n92,g31,g43
n93,g80,g68
n94,g56,g92
n95,g26,g28
n96,g1,g83
n97,g66,g85
n98,g22,g17
n99,g37,g22
