n0,g13,g75
n1,g92,g9
n2,g99,g96
n3,g27,g42
n4,g56,g53
n5,g62,g51
n6,g36,g46
n7,g89,g33
n8,g92,g31
n9,g77,g28
n10,g97,g64
n11,g55,g31
n12,g90,g58
n13,g37,g61
n14,g36,g23
n15,g29,g77
n16,g70,g60
n17,g50,g54
n18,g89,g64
n19,g79,g70
n20,g29,g28
n21,g70,g47
n22,g96,g42
n23,g84,g68
n24,g68,g52
n25,g69,g7
n26,g42,g39
n27,g97,g27
n28,g44,g53
n29,g25,g49
n30,g34,g37
n31,g55,g92
n32,g85,g0
n33,g9,g74
n34,g28,g44
n35,g33,g23
n36,g85,g53
n37,g68,g12
n38,g59,g17
n39,g57,g40
n40,g87,g73
n41,g95,g4
n42,g23,g6
n43,g4,g50
n44,g61,g50
n45,g40,g29
n46,g18,g91
n47,g8,g73
n48,g66,g59
n49,g85,g65
n50,g94,g73
n51,g28,g74
n52,g80,g55
n53,g76,g54
n54,g0,g96
n55,g18,g77
n56,g61,g25
n57,g77,g10
n58,g59,g73
n59,g5,g24
n60,g70,g66
n61,g75,g38
n62,g43,g66
n63,g27,g19
n64,g53,g20
n65,g46,g6
n66,g35,g69
n67,g54,g24
n68,g41,g13
n69,g60,g89
n70,g1,g68
n71,g98,g56
n72,g71,g11
n73,g92,g6
n74,g90,g45
n75,g94,g15
n76,g31,g11
n77,g37,g25
n78,g71,g52
n79,g35,g88
n80,g87,g53
n81,g96,g95
n82,g45,g78
n83,g93,g64
n84,g11,g7
n85,g73,g81
n86,g84,g52
n87,g34,g16
n88,g62,g30
n89,g83,g17
n90,g54,g62
n91,g76,g96
n92,g58,g0
n93,g72,g5
n94,g43,g91
n95,g59,g56
n96,g19,g41
n97,g5,g30
n98,g12,g71
n99,g67,g15
