n70,g22,g25
n6,g92,g78
n4,g60,g22
n22,g75,g96
n21,g49,g1
n60,g63,g3
n79,g41,g7
n74,g87,g88
n69,g78,g73
n28,g49,g68
n14,g21,g58
n45,g14,g87
n5,g47,g96
n23,g45,g72
n24,g35,g7
n17,g70,g67
n54,g67,g94
n77,g67,g60
n63,g60,g76
n9,g20,g55
n25,g96,g40
n10,g68,g9
n68,g8,g99
n34,g49,g7
n72,g76,g15
n73,g90,g23
n55,g81,g48
n44,g65,g37
n16,g95,g26
n80,g53,g15
n81,g89,g26
n75,g5,g63
n66,g23,g1
n47,g36,g18
n52,g77,g20
n59,g0,g4
n57,g54,g69
n71,g75,g39
n37,g45,g68
n31,g38,g44
n19,g84,g54
n46,g24,g0
n65,g31,g58
n85,g37,g98
n1,g58,g93
n84,g63,g30
n32,g80,g96
n26,g5,g4
n20,g50,g74
n53,g14,g72
n56,g15,g95
n76,g63,g49
n38,g91,g51
n13,g23,g47
n67,g21,g55
n41,g48,g11
n18,g97,g67
n11,g56,g70
n30,g78,g10
n35,g30,g21
n8,g8,g16
n83,g46,g10
n39,g18,g61
n33,g47,g49
n27,g65,g91
n50,g9,g91
n12,g68,g76
n82,g33,g92
n0,g66,g10
n43,g72,g50
n58,g68,g93
n36,g42,g33
n42,g42,g53
n61,g93,g80
n78,g24,g2
n3,g21,g0
n29,g73,g21
n49,g56,g20
n86,g62,g69
n62,g9,g66
n40,g89,g56
n51,g85,g29
n7,g70,g14
n15,g32,g91
n48,g25,g99
n64,g74,g1
n2,g89,g90
