n70,g71,g21
n65,g42,g12
n6,g68,g71
n35,g21,g37
n4,g68,g43
n32,g1,g2
n72,g66,g50
n74,g77,g66
n26,g11,g76
n21,g63,g79
n60,g77,g0
n20,g61,g30
n73,g74,g54
n51,g0,g95
n69,g24,g57
n71,g32,g81
n28,g15,g44
n77,g16,g32
n14,g53,g44
n45,g64,g29
n39,g88,g40
n5,g67,g58
n23,g33,g89
n24,g52,g46
n54,g98,g60
n16,g53,g32
n17,g9,g30
n18,g42,g19
n63,g7,g58
n9,g17,g58
n25,g81,g93
n30,g37,g9
n31,g56,g71
n10,g8,g23
n43,g26,g64
n68,g85,g43
n34,g96,g31
n8,g7,g1
n79,g15,g94
n53,g34,g29
n55,g24,g39
n38,g81,g89
n33,g47,g1
n62,g53,g92
n11,g77,g59
n27,g56,g76
n50,g21,g30
n44,g30,g23
n12,g79,g51
n67,g13,g77
n75,g41,g85
n80,g17,g49
n0,g15,g59
n22,g13,g84
n58,g16,g48
n36,g36,g61
n42,g47,g12
n61,g51,g48
n78,g84,g20
n3,g75,g5
n29,g42,g43
n47,g50,g58
n49,g1,g4
n52,g48,g35
n59,g28,g50
n57,g83,g16
n66,g12,g81
n37,g46,g84
n13,g7,g33
n40,g21,g32
n19,g36,g18
n46,g66,g4
n7,g36,g95
n15,g20,g29
n48,g97,g47
n41,g28,g60
n76,g22,g35
n64,g4,g41
n56,g51,g25
n2,g53,g25
n1,g38,g10
