n70,g75,g56
n65,g58,g61
n6,g39,g11
n35,g87,g74
n4,g3,g0
n32,g24,g90
n26,g92,g86
n21,g91,g33
n60,g13,g93
n20,g29,g71
n51,g56,g14
n69,g13,g20
n71,g69,g32
n28,g79,g85
n14,g57,g46
n45,g7,g47
n39,g66,g12
n5,g10,g26
n23,g79,g57
n24,g23,g75
n54,g91,g51
n16,g5,g4
n17,g43,g68
n18,g10,g63
n63,g92,g67
n9,g68,g67
n25,g37,g97
n30,g63,g54
n31,g95,g16
n10,g48,g76
n43,g55,g61
n68,g77,g98
n34,g93,g96
n8,g43,g81
n53,g90,g29
n55,g60,g49
n38,g59,g12
n33,g3,g72
n62,g13,g41
n11,g53,g33
n27,g19,g43
n50,g53,g58
n44,g86,g78
n12,g20,g12
n67,g29,g19
n0,g66,g21
n22,g24,g44
n58,g92,g55
n36,g40,g98
n42,g44,g75
n61,g25,g99
n3,g89,g36
n29,g93,g80
n47,g39,g55
n49,g36,g8
n52,g38,g0
n59,g56,g7
n57,g64,g47
n66,g21,g42
n37,g37,g82
n13,g17,g61
n40,g49,g21
n19,g24,g70
n46,g33,g90
n7,g89,g79
n15,g43,g78
n48,g23,g37
n41,g36,g14
n64,g81,g92
n56,g31,g35
n2,g60,g35
n1,g8,g79
