n70,g4,g94
n6,g23,g42
n4,g17,g82
n22,g76,g8
n21,g67,g90
n60,g35,g56
n79,g68,g61
n74,g60,g31
n69,g46,g2
n28,g29,g40
n14,g62,g30
n45,g36,g25
n89,g6,g49
n5,g73,g2
n23,g90,g51
n24,g38,g65
n17,g74,g59
n54,g66,g3
n77,g47,g97
n63,g59,g85
n9,g19,g76
n25,g29,g77
n87,g67,g95
n10,g73,g21
n68,g57,g44
n34,g72,g33
n72,g70,g4
n73,g20,g3
n55,g1,g83
n44,g59,g97
n16,g26,g68
n80,g65,g18
n81,g20,g72
n75,g35,g1
n66,g94,g29
n47,g61,g74
n52,g63,g9
n59,g65,g1
n57,g49,g52
n71,g93,g98
n37,g42,g76
n31,g27,g14
n19,g90,g99
n46,g14,g49
n65,g31,g99
n85,g91,g95
n1,g12,g28
n84,g82,g51
n32,g49,g83
n26,g64,g67
n20,g75,g99
n53,g17,g15
n56,g10,g48
n76,g95,g23
n38,g87,g88
n13,g45,g77
n67,g10,g40
n41,g19,g31
n18,g5,g29
n11,g33,g78
n30,g92,g42
n35,g88,g36
n8,g34,g91
n83,g22,g30
n39,g58,g7
n33,g69,g91
n27,g61,g37
n50,g79,g3
n12,g41,g19
n82,g55,g38
n0,g37,g30
n43,g48,g64
n58,g62,g45
n36,g38,g75
n42,g63,g84
n61,g31,g88
n78,g49,g41
n3,g25,g34
n29,g51,g39
n49,g28,g55
n88,g25,g39
n86,g14,g37
n62,g94,g78
n40,g46,g26
n51,g80,g24
n7,g75,g34
n15,g5,g6
n48,g12,g8
n64,g77,g82
n2,g23,g70
