n70,g85,g58
n65,g17,g6
n6,g53,g91
n35,g8,g61
n4,g43,g46
n32,g28,g55
n72,g89,g16
n74,g74,g94
n26,g14,g69
n21,g84,g50
n60,g26,g81
n20,g77,g95
n73,g86,g51
n51,g58,g83
n69,g60,g0
n71,g13,g30
n28,g42,g88
n77,g75,g52
n14,g43,g70
n45,g37,g36
n39,g89,g99
n5,g98,g76
n23,g84,g82
n24,g47,g27
n54,g34,g62
n16,g94,g61
n17,g44,g98
n18,g33,g19
n63,g64,g71
n9,g60,g88
n25,g62,g36
n30,g69,g39
n31,g82,g43
n10,g1,g75
n43,g25,g83
n68,g6,g87
n34,g83,g5
n8,g13,g63
n53,g7,g77
n55,g44,g99
n38,g70,g62
n33,g11,g33
n62,g48,g33
n11,g35,g66
n27,g39,g2
n50,g82,g1
n44,g62,g73
n12,g72,g74
n67,g45,g77
n75,g99,g79
n0,g63,g76
n22,g19,g9
n58,g23,g19
n36,g30,g12
n42,g48,g81
n61,g1,g0
n78,g11,g69
n3,g98,g62
n29,g81,g43
n47,g91,g63
n49,g68,g88
n52,g19,g57
n59,g4,g81
n57,g71,g69
n66,g64,g50
n37,g98,g37
n13,g75,g65
n40,g26,g18
n19,g1,g25
n46,g36,g30
n7,g70,g76
n15,g8,g79
n48,g18,g73
n41,g92,g15
n76,g63,g82
n64,g43,g50
n56,g5,g95
n2,g76,g3
n1,g34,g71
