n70,g33,g11
n6,g11,g70
n4,g22,g77
n22,g81,g42
n21,g52,g36
n60,g56,g20
n79,g93,g60
n74,g12,g43
n69,g96,g36
n28,g79,g75
n14,g35,g26
n45,g85,g16
n5,g86,g65
n23,g18,g9
n24,g74,g28
n17,g45,g62
n54,g18,g50
n77,g49,g93
n63,g17,g99
n9,g88,g98
n25,g12,g65
n10,g23,g31
n68,g71,g15
n34,g47,g92
n72,g17,g64
n73,g12,g68
n55,g58,g46
n44,g99,g4
n16,g35,g45
n80,g50,g57
n81,g92,g66
n75,g98,g62
n66,g6,g83
n47,g0,g96
n52,g34,g84
n59,g23,g8
n57,g50,g38
n71,g12,g91
n37,g31,g64
n31,g12,g76
n19,g52,g39
n46,g26,g62
n65,g77,g10
n85,g48,g50
n1,g65,g72
n84,g75,g27
n32,g40,g49
n26,g81,g74
n20,g87,g64
n53,g49,g48
n56,g95,g31
n76,g51,g88
n38,g70,g80
n13,g48,g15
n67,g38,g32
n41,g62,g34
n18,g22,g31
n11,g30,g78
n30,g55,g76
n35,g98,g57
n8,g80,g63
n83,g47,g58
n39,g25,g19
n33,g6,g7
n27,g1,g14
n50,g70,g88
n12,g24,g6
n82,g16,g47
n0,g40,g28
n43,g40,g84
n58,g87,g25
n36,g96,g42
n42,g40,g99
n61,g80,g98
n78,g9,g39
n3,g85,g44
n29,g89,g20
n49,g30,g26
n62,g67,g27
n40,g26,g69
n51,g75,g94
n7,g42,g53
n15,g81,g69
n48,g4,g89
n64,g15,g33
n2,g72,g24
