n70,g24,g82
n65,g69,g32
n6,g62,g33
n35,g79,g71
n4,g45,g13
n32,g14,g13
n72,g53,g73
n26,g7,g41
n21,g94,g0
n60,g64,g43
n20,g40,g13
n51,g10,g93
n69,g25,g6
n71,g48,g13
n28,g34,g60
n14,g5,g28
n45,g65,g70
n39,g65,g76
n5,g80,g5
n23,g15,g55
n24,g93,g74
n54,g62,g51
n16,g3,g34
n17,g97,g68
n18,g85,g97
n63,g12,g59
n9,g42,g38
n25,g95,g98
n30,g35,g9
n31,g80,g23
n10,g15,g44
n43,g72,g37
n68,g12,g39
n34,g3,g73
n8,g19,g20
n53,g35,g56
n55,g58,g55
n38,g88,g35
n33,g99,g85
n62,g71,g90
n11,g84,g95
n27,g53,g7
n50,g19,g52
n44,g44,g83
n12,g74,g83
n67,g17,g6
n0,g77,g50
n22,g74,g56
n58,g58,g76
n36,g1,g60
n42,g99,g97
n61,g22,g7
n3,g10,g22
n29,g30,g65
n47,g3,g52
n49,g12,g43
n52,g17,g58
n59,g47,g25
n57,g80,g3
n66,g81,g87
n37,g18,g11
n13,g95,g53
n40,g96,g32
n19,g72,g79
n46,g56,g76
n7,g41,g44
n15,g36,g94
n48,g39,g73
n41,g9,g25
n64,g36,g88
n56,g37,g46
n2,g15,g60
n1,g78,g30
