n70,g84,g34
n65,g67,g72
n6,g65,g4
n35,g46,g88
n4,g29,g56
n32,g57,g56
n26,g10,g66
n21,g4,g95
n60,g33,g85
n20,g71,g22
n51,g89,g11
n69,g36,g16
n28,g77,g21
n14,g11,g79
n45,g32,g69
n39,g80,g28
n5,g74,g38
n23,g72,g66
n24,g79,g6
n54,g76,g69
n16,g63,g76
n17,g67,g2
n18,g24,g87
n63,g97,g3
n9,g38,g28
n25,g30,g24
n30,g71,g51
n31,g90,g22
n10,g75,g4
n43,g21,g93
n68,g46,g67
n34,g74,g40
n8,g77,g11
n53,g86,g14
n55,g79,g66
n38,g15,g52
n33,g7,g3
n62,g88,g96
n11,g81,g0
n27,g33,g92
n50,g23,g16
n44,g21,g15
n12,g49,g22
n67,g60,g98
n0,g83,g59
n22,g29,g97
n58,g97,g55
n36,g51,g73
n42,g19,g84
n61,g14,g10
n3,g6,g83
n29,g18,g11
n47,g94,g52
n49,g31,g51
n52,g81,g55
n59,g54,g22
n57,g64,g3
n66,g40,g26
n37,g99,g33
n13,g54,g56
n40,g23,g39
n19,g44,g70
n46,g38,g82
n7,g6,g55
n15,g97,g56
n48,g49,g4
n41,g19,g20
n64,g44,g40
n56,g29,g82
n2,g16,g49
n1,g95,g83
