n70,g63,g37
n6,g74,g31
n4,g61,g13
n22,g84,g67
n21,g30,g10
n60,g21,g20
n79,g72,g17
n74,g45,g58
n69,g60,g48
n28,g35,g88
n14,g81,g70
n45,g17,g92
n5,g59,g50
n23,g91,g99
n24,g41,g48
n17,g97,g42
n54,g29,g46
n77,g14,g29
n63,g34,g41
n9,g26,g14
n25,g91,g53
n10,g54,g29
n68,g3,g44
n34,g70,g78
n72,g24,g73
n73,g8,g74
n55,g60,g7
n44,g49,g19
n16,g11,g51
n80,g70,g77
n81,g69,g93
n75,g25,g78
n66,g43,g38
n47,g41,g54
n52,g22,g86
n59,g97,g8
n57,g30,g64
n71,g31,g68
n37,g83,g77
n31,g17,g24
n19,g25,g45
n46,g95,g45
n65,g53,g46
n85,g94,g60
n1,g33,g82
n84,g58,g68
n32,g27,g82
n26,g93,g58
n20,g98,g86
n53,g41,g13
n56,g86,g72
n76,g76,g4
n38,g18,g82
n13,g19,g59
n67,g65,g23
n41,g53,g65
n18,g19,g21
n11,g39,g51
n30,g15,g81
n35,g16,g64
n8,g30,g73
n83,g61,g99
n39,g2,g92
n33,g27,g71
n27,g54,g27
n50,g61,g12
n12,g76,g11
n82,g99,g5
n0,g72,g39
n43,g75,g76
n58,g94,g97
n36,g67,g60
n42,g51,g43
n61,g51,g2
n78,g55,g17
n3,g88,g56
n29,g70,g27
n49,g44,g23
n62,g28,g33
n40,g16,g72
n51,g32,g1
n7,g2,g19
n15,g20,g50
n48,g29,g85
n64,g10,g19
n2,g57,g4
