n70,g86,g98
n65,g33,g83
n6,g56,g31
n35,g33,g64
n4,g98,g30
n32,g65,g91
n72,g4,g63
n26,g63,g44
n21,g6,g4
n60,g14,g44
n20,g74,g59
n51,g39,g65
n69,g0,g40
n71,g1,g26
n28,g82,g61
n14,g77,g44
n45,g96,g32
n39,g38,g64
n5,g74,g82
n23,g84,g81
n24,g61,g18
n54,g73,g86
n16,g87,g64
n17,g79,g62
n18,g13,g39
n63,g22,g88
n9,g46,g32
n25,g40,g4
n30,g28,g22
n31,g32,g77
n10,g31,g67
n43,g0,g93
n68,g57,g99
n34,g89,g47
n8,g40,g91
n53,g82,g37
n55,g65,g12
n38,g73,g14
n33,g47,g38
n62,g5,g69
n11,g97,g19
n27,g18,g58
n50,g43,g82
n44,g95,g86
n12,g53,g42
n67,g43,g72
n0,g14,g40
n22,g95,g45
n58,g2,g94
n36,g44,g31
n42,g63,g90
n61,g91,g84
n3,g15,g41
n29,g48,g44
n47,g70,g12
n49,g79,g25
n52,g87,g33
n59,g84,g32
n57,g61,g95
n66,g91,g46
n37,g65,g0
n13,g31,g41
n40,g17,g95
n19,g30,g43
n46,g42,g74
n7,g9,g70
n15,g52,g35
n48,g12,g50
n41,g6,g76
n64,g11,g17
n56,g41,g16
n2,g39,g20
n1,g75,g64
