n70,g95,g98
n65,g9,g81
n6,g1,g87
n35,g69,g96
n4,g1,g76
n32,g34,g36
n26,g98,g45
n21,g57,g51
n60,g3,g26
n20,g37,g39
n51,g70,g76
n69,g58,g90
n28,g32,g42
n14,g90,g36
n45,g24,g47
n39,g98,g37
n5,g27,g38
n23,g64,g61
n24,g68,g72
n54,g9,g30
n16,g96,g67
n17,g72,g82
n18,g60,g78
n63,g52,g62
n9,g8,g45
n25,g61,g50
n30,g49,g35
n31,g31,g67
n10,g73,g10
n43,g99,g40
n68,g26,g42
n34,g81,g2
n8,g92,g64
n53,g76,g54
n55,g29,g56
n38,g25,g26
n33,g52,g15
n62,g77,g51
n11,g41,g85
n27,g48,g40
n50,g72,g95
n44,g90,g52
n12,g80,g48
n67,g22,g15
n0,g39,g52
n22,g38,g55
n58,g81,g93
n36,g21,g55
n42,g4,g81
n61,g50,g70
n3,g14,g77
n29,g69,g91
n47,g92,g48
n49,g18,g95
n52,g86,g25
n59,g81,g18
n57,g48,g75
n66,g90,g92
n37,g44,g69
n13,g55,g56
n40,g28,g49
n19,g76,g12
n46,g10,g88
n7,g41,g26
n15,g34,g72
n48,g54,g79
n41,g48,g25
n64,g96,g31
n56,g2,g60
n2,g64,g99
n1,g38,g49
