n70,g31,g15
n65,g66,g72
n6,g1,g81
n35,g20,g69
n4,g73,g85
n32,g44,g81
n26,g7,g50
n21,g3,g85
n60,g62,g94
n20,g67,g75
n51,g21,g28
n69,g15,g25
n28,g22,g84
n14,g53,g26
n45,g76,g41
n39,g29,g38
n5,g50,g19
n23,g85,g25
n24,g63,g75
n54,g34,g7
n16,g62,g52
n17,g58,g92
n18,g23,g29
n63,g62,g43
n9,g59,g88
n25,g85,g78
n30,g1,g74
n31,g83,g75
n10,g85,g37
n43,g78,g2
n68,g69,g29
n34,g12,g14
n8,g18,g30
n53,g89,g66
n55,g75,g31
n38,g11,g8
n33,g89,g67
n62,g7,g72
n11,g50,g44
n27,g74,g5
n50,g91,g54
n44,g62,g16
n12,g81,g6
n67,g26,g98
n0,g81,g69
n22,g67,g39
n58,g52,g63
n36,g34,g94
n42,g47,g55
n61,g8,g73
n3,g29,g67
n29,g52,g30
n47,g75,g89
n49,g68,g2
n52,g91,g72
n59,g64,g76
n57,g77,g74
n66,g13,g95
n37,g72,g27
n13,g81,g13
n40,g34,g80
n19,g2,g22
n46,g10,g95
n7,g78,g48
n15,g62,g99
n48,g58,g47
n41,g68,g95
n64,g26,g80
n56,g52,g83
n2,g25,g90
n1,g73,g79
