n0,g4,g39
n1,g32,g1
n2,g6,g99
n3,g94,g73
n4,g50,g12
n5,g43,g82
n6,g33,g85
n7,g50,g86
n8,g23,g19
n9,g56,g33
n10,g28,g95
n11,g37,g77
n12,g61,g23
n13,g36,g33
n14,g37,g85
n15,g84,g88
n16,g59,g34
n17,g51,g37
n18,g8,g20
n19,g96,g5
n20,g92,g24
n21,g99,g41
n22,g1,g69
n23,g43,g24
n24,g50,g28
n25,g19,g14
n26,g5,g35
n27,g67,g8
n28,g62,g60
n29,g48,g63
n30,g98,g10
n31,g65,g73
n32,g49,g3
n33,g89,g40
n34,g95,g49
n35,g26,g50
n36,g92,g28
n37,g87,g89
n38,g60,g29
n39,g2,g90
n40,g65,g79
n41,g6,g69
n42,g15,g19
n43,g58,g61
n44,g41,g21
n45,g6,g49
n46,g93,g7
n47,g18,g35
n48,g53,g63
n49,g73,g89
n50,g81,g95
n51,g85,g92
n52,g78,g4
n53,g42,g41
n54,g46,g36
n55,g69,g90
n56,g20,g29
n57,g13,g56
n58,g84,g16
n59,g25,g1
n60,g92,g79
n61,g18,g56
n62,g9,g65
n63,g59,g26
n64,g46,g72
n65,g53,g41
n66,g8,g29
n67,g32,g46
n68,g16,g43
n69,g48,g54
n70,g30,g2
n71,g38,g52
n72,g74,g10
n73,g35,g76
n74,g40,g45
n75,g9,g0
n76,g79,g30
n77,g38,g5
n78,g49,g70
n79,g40,g76
n80,g93,g56
n81,g31,g11
n82,g47,g72
n83,g86,g84
n84,g25,g13
n85,g99,g49
n86,g61,g24
n87,g70,g10
n88,g5,g13
n89,g46,g31
