n0,g57,g91
n1,g26,g41
n2,g85,g37
n3,g24,g78
n4,g7,g85
n5,g21,g11
n6,g44,g95
n7,g26,g77
n8,g82,g37
n9,g41,g34
n10,g95,g3
n11,g43,g39
n12,g99,g89
n13,g38,g89
n14,g14,g3
n15,g8,g80
n16,g21,g76
n17,g9,g92
n18,g69,g1
n19,g69,g52
n20,g71,g49
n21,g95,g77
n22,g27,g10
n23,g50,g71
n24,g11,g75
n25,g13,g2
n26,g17,g48
n27,g20,g87
n28,g83,g74
n29,g2,g75
n30,g73,g36
n31,g8,g1
n32,g26,g80
n33,g6,g53
n34,g48,g24
n35,g19,g97
n36,g18,g53
n37,g93,g25
n38,g87,g5
n39,g46,g25
n40,g1,g67
n41,g82,g10
n42,g80,g81
n43,g4,g98
n44,g9,g56
n45,g83,g94
n46,g39,g22
n47,g93,g65
n48,g2,g31
n49,g17,g35
n50,g30,g93
n51,g51,g95
n52,g52,g16
n53,g63,g30
n54,g20,g27
n55,g54,g22
n56,g50,g89
n57,g51,g77
n58,g23,g53
n59,g36,g27
n60,g59,g79
n61,g90,g84
n62,g93,g99
n63,g48,g11
n64,g21,g93
n65,g24,g74
n66,g60,g65
n67,g73,g7
n68,g94,g31
n69,g68,g39
n70,g88,g49
n71,g76,g99
n72,g90,g24
n73,g68,g98
n74,g71,g6
n75,g55,g57
n76,g80,g50
n77,g71,g32
n78,g22,g90
n79,g30,g37
