n0,g49,g91
n1,g72,g55
n2,g46,g24
n3,g7,g27
n4,g54,g2
n5,g7,g42
n6,g91,g83
n7,g92,g21
n8,g78,g68
n9,g15,g54
n10,g50,g13
n11,g79,g48
n12,g55,g74
n13,g34,g11
n14,g50,g25
n15,g10,g4
n16,g34,g58
n17,g55,g96
n18,g42,g47
n19,g47,g97
n20,g87,g90
n21,g46,g44
n22,g47,g86
n23,g58,g98
n24,g39,g46
n25,g65,g77
n26,g12,g82
n27,g3,g55
n28,g30,g68
n29,g37,g48
n30,g73,g41
n31,g2,g95
n32,g38,g10
n33,g27,g96
n34,g83,g26
n35,g0,g92
n36,g58,g64
n37,g59,g24
n38,g6,g80
n39,g80,g32
n40,g77,g29
n41,g85,g64
n42,g61,g83
n43,g29,g15
n44,g15,g84
n45,g83,g36
n46,g22,g49
n47,g81,g96
n48,g76,g39
n49,g73,g29
n50,g44,g58
n51,g28,g43
n52,g95,g50
n53,g13,g53
n54,g75,g88
n55,g91,g77
n56,g78,g9
n57,g64,g15
n58,g50,g17
n59,g79,g63
n60,g74,g14
n61,g87,g9
n62,g24,g17
n63,g87,g34
n64,g73,g97
n65,g16,g89
n66,g15,g82
n67,g9,g33
n68,g70,g72
n69,g13,g9
n70,g38,g68
n71,g29,g40
n72,g80,g48
n73,g99,g70
n74,g11,g79
n75,g31,g20
n76,g7,g48
n77,g67,g37
n78,g21,g80
n79,g42,g84
